year,municipality,type_of_debt,mean_debt_euro
2002,Pyhäntä,Loans charged on business activities or a source of income,6689
2002,Siikalatva,Loans charged on business activities or a source of income,9731
2002,Kuusamo,Loans charged on business activities or a source of income,2926
2002,Taivalkoski,Loans charged on business activities or a source of income,1853
2002,Haapajärvi,Loans charged on business activities or a source of income,4899
2002,Kärsämäki,Loans charged on business activities or a source of income,11088
2002,Nivala,Loans charged on business activities or a source of income,10739
2002,Pyhäjärvi,Loans charged on business activities or a source of income,4017
2002,Reisjärvi,Loans charged on business activities or a source of income,13866
2002,Hailuoto,Loans charged on business activities or a source of income,4037
2002,Kempele,Loans charged on business activities or a source of income,2679
2002,Liminka,Loans charged on business activities or a source of income,5968
2002,Lumijoki,Loans charged on business activities or a source of income,11080
2002,Muhos,Loans charged on business activities or a source of income,4422
2002,Oulu,Loans charged on business activities or a source of income,1745
2002,Tyrnävä,Loans charged on business activities or a source of income,10492
2002,Ii,Loans charged on business activities or a source of income,1810
2002,Pudasjärvi,Loans charged on business activities or a source of income,3949
2002,Utajärvi,Loans charged on business activities or a source of income,6340
2002,Vaala,Loans charged on business activities or a source of income,5269
2002,Pyhäjoki,Loans charged on business activities or a source of income,1176
2002,Raahe,Loans charged on business activities or a source of income,1257
2002,Siikajoki,Loans charged on business activities or a source of income,2607
2002,Alavieska,Loans charged on business activities or a source of income,9920
2002,Kalajoki,Loans charged on business activities or a source of income,10174
2002,Merijärvi,Loans charged on business activities or a source of income,9337
2002,Oulainen,Loans charged on business activities or a source of income,5984
2002,Sievi,Loans charged on business activities or a source of income,10728
2002,Ylivieska,Loans charged on business activities or a source of income,5461
2002,Kajaani,Loans charged on business activities or a source of income,1617
2002,Paltamo,Loans charged on business activities or a source of income,3502
2002,Ristijärvi,Loans charged on business activities or a source of income,4205
2002,Sotkamo,Loans charged on business activities or a source of income,4898
2002,Hyrynsalmi,Loans charged on business activities or a source of income,2687
2002,Kuhmo,Loans charged on business activities or a source of income,2617
2002,Puolanka,Loans charged on business activities or a source of income,3419
2002,Suomussalmi,Loans charged on business activities or a source of income,1664
2002,Kemijärvi,Loans charged on business activities or a source of income,2466
2002,Pelkosenniemi,Loans charged on business activities or a source of income,1478
2002,Posio,Loans charged on business activities or a source of income,4535
2002,Salla,Loans charged on business activities or a source of income,3825
2002,Savukoski,Loans charged on business activities or a source of income,2615
2002,Kemi,Loans charged on business activities or a source of income,1447
2002,Keminmaa,Loans charged on business activities or a source of income,2576
2002,Simo,Loans charged on business activities or a source of income,4379
2002,Tervola,Loans charged on business activities or a source of income,5673
2002,Tornio,Loans charged on business activities or a source of income,3260
2002,Inari,Loans charged on business activities or a source of income,948
2002,Sodankylä,Loans charged on business activities or a source of income,2235
2002,Utsjoki,Loans charged on business activities or a source of income,2293
2002,Ranua,Loans charged on business activities or a source of income,4877
2002,Rovaniemi,Loans charged on business activities or a source of income,1827
2002,Pello,Loans charged on business activities or a source of income,2259
2002,Ylitornio,Loans charged on business activities or a source of income,4809
2002,Enontekiö,Loans charged on business activities or a source of income,2394
2002,Kittilä,Loans charged on business activities or a source of income,3117
2002,Kolari,Loans charged on business activities or a source of income,2406
2002,Muonio,Loans charged on business activities or a source of income,3218
2002,Maarianhamina - Mariehamn,Loans charged on business activities or a source of income,3777
2002,Eckerö,Loans charged on business activities or a source of income,10962
2002,Finström,Loans charged on business activities or a source of income,10417
2002,Geta,Loans charged on business activities or a source of income,8924
2002,Hammarland,Loans charged on business activities or a source of income,11027
2002,Jomala,Loans charged on business activities or a source of income,8489
2002,Lemland,Loans charged on business activities or a source of income,6880
2002,Lumparland,Loans charged on business activities or a source of income,4613
2002,Saltvik,Loans charged on business activities or a source of income,8406
2002,Sund,Loans charged on business activities or a source of income,11075
2002,Brändö,Loans charged on business activities or a source of income,5836
2002,Föglö,Loans charged on business activities or a source of income,7620
2002,Kumlinge,Loans charged on business activities or a source of income,4982
2002,Kökar,Loans charged on business activities or a source of income,3052
2002,Sottunga,Loans charged on business activities or a source of income,17236
2002,Vårdö,Loans charged on business activities or a source of income,17127
2003,Espoo,Loans charged on business activities or a source of income,2436
2003,Helsinki,Loans charged on business activities or a source of income,1979
2003,Hyvinkää,Loans charged on business activities or a source of income,1792
2003,Järvenpää,Loans charged on business activities or a source of income,1220
2003,Karkkila,Loans charged on business activities or a source of income,2173
2003,Kauniainen,Loans charged on business activities or a source of income,7716
2003,Kerava,Loans charged on business activities or a source of income,935
2003,Kirkkonummi,Loans charged on business activities or a source of income,1914
2003,Lohja,Loans charged on business activities or a source of income,2531
2003,Mäntsälä,Loans charged on business activities or a source of income,3965
2003,Nurmijärvi,Loans charged on business activities or a source of income,2299
2003,Pornainen,Loans charged on business activities or a source of income,5014
2003,Sipoo,Loans charged on business activities or a source of income,4613
2003,Siuntio,Loans charged on business activities or a source of income,5130
2003,Tuusula,Loans charged on business activities or a source of income,1988
2003,Vantaa,Loans charged on business activities or a source of income,954
2003,Vihti,Loans charged on business activities or a source of income,2874
2003,Lapinjärvi,Loans charged on business activities or a source of income,15376
2003,Loviisa,Loans charged on business activities or a source of income,4739
2003,Askola,Loans charged on business activities or a source of income,9169
2003,Myrskylä,Loans charged on business activities or a source of income,11486
2003,Porvoo,Loans charged on business activities or a source of income,2900
2003,Pukkila,Loans charged on business activities or a source of income,12680
2003,Hanko,Loans charged on business activities or a source of income,1513
2003,Inkoo,Loans charged on business activities or a source of income,5979
2003,Raasepori,Loans charged on business activities or a source of income,2383
2003,Aura,Loans charged on business activities or a source of income,7781
2003,Koski Tl,Loans charged on business activities or a source of income,15362
2003,Loimaa,Loans charged on business activities or a source of income,11224
