Municipality,Year,Mental health score
Pirkkala,2015,-0.4309221183554292
Pirkkala,2016,-0.356892209253336
Pirkkala,2017,0.07426906235888465
Pirkkala,2018,0.4226109006720658
Pirkkala,2019,0.6423046048788523
Pirkkala,2020,1.1833128931782178
Pirkkala,2021,1.264425388072809
Pirkkala,2022,1.3375979601455121
Pirkkala,2023,1.4743600878725767
Polvijärvi,1997,0.6667619135971068
Polvijärvi,1998,0.5469133022094145
Polvijärvi,1999,0.5959793906417805
Polvijärvi,2000,0.5590826511720687
Polvijärvi,2001,0.6329963534092949
Polvijärvi,2002,0.8517328845669194
Polvijärvi,2003,0.7833012573277146
Polvijärvi,2004,1.1082985405515138
Polvijärvi,2005,1.1758318112584483
Polvijärvi,2006,1.1693687890791442
Polvijärvi,2007,1.1390968773039591
Polvijärvi,2008,1.2760889741566435
Polvijärvi,2009,1.2262005295521834
Polvijärvi,2010,0.4357602474273951
Polvijärvi,2011,-0.10588542274452918
Polvijärvi,2012,0.3552637672734063
Polvijärvi,2013,-0.17527990768390572
Polvijärvi,2014,-0.006157654658809688
Polvijärvi,2015,-0.009946349480310944
Polvijärvi,2016,0.21037951079318498
Polvijärvi,2017,0.8871184905338362
Polvijärvi,2018,1.879963286188477
Polvijärvi,2019,2.090990403510505
Polvijärvi,2020,1.642871830743824
Polvijärvi,2021,1.0754976244947987
Polvijärvi,2022,1.1536068163067046
Polvijärvi,2023,1.6799189429537662
Pomarkku,1997,-1.5187820714748528
Pomarkku,1998,-1.3960118749807147
Pomarkku,1999,-1.0758678305874207
Pomarkku,2000,-1.1651340734110338
Pomarkku,2001,-1.0119425846104106
Pomarkku,2002,-0.7263220379548467
Pomarkku,2003,-0.34645793203917863
Pomarkku,2004,-0.14215636113644486
Pomarkku,2005,0.27616749314630307
Pomarkku,2006,0.26698576259363405
Pomarkku,2007,0.39456669922677484
Pomarkku,2008,0.6112599426843818
Pomarkku,2009,0.29459952801826406
Pomarkku,2010,0.6398563912868246
Pomarkku,2011,0.6177222732523598
Pomarkku,2012,0.8140175448055614
Pomarkku,2013,-0.0956905718080952
Pomarkku,2014,0.17021596764926886
Pomarkku,2015,0.8745287916956995
Pomarkku,2016,0.3004597583321318
Pomarkku,2017,0.5035754693672302
Pomarkku,2018,0.6556859038245615
Pomarkku,2019,1.3457561338054667
Pomarkku,2020,0.8135049362256266
Pomarkku,2021,-0.025819073368263643
Pomarkku,2022,0.8974966753279731
Pomarkku,2023,0.860937540923972
Pori,1997,-1.1949945475951504
Pori,1998,-1.0470381899845753
Pori,1999,-0.7349276021205837
Pori,2000,-0.5950428019159196
Pori,2001,-0.6549444516389703
Pori,2002,-0.31579103482006204
Pori,2003,-0.11979623323927899
Pori,2004,0.09017653944753345
Pori,2005,0.18740379436619106
Pori,2006,0.4361477661440626
Pori,2007,0.6437496128214253
Pori,2008,0.9366519801372323
Pori,2009,1.0022340472381588
Pori,2010,1.0506760317475998
Pori,2011,0.7954177811781518
Pori,2012,0.9325702230358963
Pori,2013,0.6239439284440804
Pori,2014,0.3659554722963212
Pori,2015,0.5851606886570896
Pori,2016,0.7660290603085579
Pori,2017,0.9262503472400957
Pori,2018,0.9404975939134191
Pori,2019,1.5722372163315408
Pori,2020,0.9374314765196652
Pori,2021,1.1707975422043226
Pori,2022,1.3215593154559884
Pori,2023,1.5357238541471734
Pornainen,1997,-1.3767005830198087
Pornainen,1998,-1.2706445076243091
Pornainen,1999,-0.8730780231537963
Pornainen,2000,-1.4233137074891793
Pornainen,2001,-1.0849027597960184
Pornainen,2002,-1.0639133454625571
Pornainen,2003,-0.8926333229779743
Pornainen,2004,-0.9671444754801329
Pornainen,2005,-1.4627841613127437
Pornainen,2006,-1.3678094165855894
Pornainen,2007,-1.3022989196755725
Pornainen,2008,-1.1676842060591868
Pornainen,2009,-0.7704673021612606
Pornainen,2010,-0.7485162368823798
Pornainen,2011,-1.2428955027383592
Pornainen,2012,-1.016165212073665
Pornainen,2013,-0.9333920660410575
Pornainen,2014,-1.069952080088706
Pornainen,2015,-1.384256802394095
Pornainen,2016,-1.5367054107823024
Pornainen,2017,-0.813812714756138
Pornainen,2018,-0.08635127665778988
Pornainen,2019,-0.07227748912842583
Pornainen,2020,0.28795050351599344
Pornainen,2021,0.43275389527295965
Pornainen,2022,0.6256006438609262
Pornainen,2023,0.6251645303930763
Porvoo,1997,-1.5627863229008507
Porvoo,1998,-1.1908988254287007
Porvoo,1999,-1.1900493768919223
Porvoo,2000,-1.1330321195698516
Porvoo,2001,-1.2933796347882411
Porvoo,2002,-1.1533258303322167
Porvoo,2003,-0.9202603583383537
Porvoo,2004,-0.8821790532894634
Porvoo,2005,-0.6780576768668554
Porvoo,2006,-0.5961338426748016
Porvoo,2007,-0.6368139929968867
Porvoo,2008,-0.382739694883735
Porvoo,2009,-0.3166752125393678
Porvoo,2010,-0.4336917334635338
Porvoo,2011,-0.40778167472883303
Porvoo,2012,-0.6792174450339595
Porvoo,2013,-0.569303764127884
Porvoo,2014,-0.48323139508503193
Porvoo,2015,-0.6729216049194384
Porvoo,2016,-0.42171838472025336
Porvoo,2017,-0.19970813044208433
Porvoo,2018,-0.06085372776757358
Porvoo,2019,-0.08581136963363296
Porvoo,2020,0.05827673055474244
Porvoo,2021,0.6270811013125561
Porvoo,2022,0.14072311428719067
Porvoo,2023,0.4797264598565788
Posio,1997,-0.583913450609806
Posio,1998,-0.49513546198541025
Posio,1999,-0.05796608162253746
Posio,2000,-0.0833903658505737
