Municipality,Year,"Rehabilitative psychotherapy, recipients aged 16-64, combined","Reimbursements for depression medicines, recipients all ages, combined","Sickness allowance for mental health reasons, recipients aged 18-64, combined"
Joroinen,2010,0.6704206577731012,0.35871377554582684,0.005253235696174125
Joroinen,2011,0.5570507041921485,0.2464047065979371,-0.6614420417237933
Joroinen,2012,0.42478575834770393,0.35857827632721867,-0.5749215586381492
Joroinen,2013,0.3114158047667514,0.302309301091581,-0.9755350487983111
Joroinen,2014,0.3114158047667514,-0.1027394897602972,-0.4161832010400678
Joroinen,2015,0.6893156500365933,0.12377457781503633,-0.5452942065497235
Joroinen,2016,0.5759456964556408,-0.12854017262510617,-1.1126608418887796
Joroinen,2017,0.7460006268270696,0.15948182244959197,-0.757859290318986
Joroinen,2018,0.8593705804080221,0.4799756967015285,0.0037660667332040467
Joroinen,2019,0.5570507041921485,1.3038942055169123,1.0532407868931317
Joroinen,2020,0.7460006268270696,1.5162922166918074,1.393817235559878
Joroinen,2021,1.275060410204848,2.1954557638537375,2.445963551580076
Joroinen,2022,1.3884303637858006,1.8416179715178078,2.285970542029504
Joroinen,2023,1.237270425677864,2.016912688339195,2.42883433580628
Joutsa,1997,-0.7164342656871362,-1.8131538019886588,-1.0603285652955377
Joutsa,1998,-0.7164342656871362,-1.4993097785753176,-1.0603285652955377
Joutsa,1999,-0.7164342656871362,-0.915273716431801,-1.0603285652955377
Joutsa,2000,-0.7542242502141202,-0.8834632029054471,-1.0603285652955377
Joutsa,2001,-0.7542242502141202,-1.1204273329164816,-1.0603285652955377
Joutsa,2002,-0.7542242502141202,-1.2298802660049635,-1.0603285652955377
Joutsa,2003,-0.7542242502141202,-0.6583470406691444,-1.0603285652955377
Joutsa,2004,-0.7542242502141202,-0.7811126686706533,-1.0603285652955377
Joutsa,2005,-0.7542242502141202,-0.5574074050092188,-1.0433543608620603
Joutsa,2006,-0.678644281160152,-0.6164981773945928,-0.7767227532961691
Joutsa,2007,-0.7542242502141202,-0.3244801463228344,-0.5196003828890291
Joutsa,2008,-0.6030643121061835,0.22310749050013967,-0.04000888258810851
Joutsa,2009,-0.6030643121061835,0.5230916070943431,-0.6769217965793312
Joutsa,2010,-0.5841693198426915,0.3889843878966229,-0.7385307933208456
Joutsa,2011,-0.7353292579506282,0.6783829428365179,-0.5892241672113554
Joutsa,2012,-0.5652743275791995,0.28424454063959176,-0.6216781265003708
Joutsa,2013,-0.5463793353157074,0.12699509441643814,-0.28227882411595595
Joutsa,2014,-0.35742941268078643,-0.06613607536739148,-0.5617185906771149
Joutsa,2015,-0.4519043739982469,-0.05035889339486451,-1.2384729255619193
Joutsa,2016,-0.4519043739982469,-0.10730872413514246,-0.37319786965028867
Joutsa,2017,-0.4519043739982469,-0.2560597217856559,-0.6017150229110155
Joutsa,2018,-0.4519043739982469,0.12508431588096827,-0.21610897297046552
Joutsa,2019,-0.24405945909983395,0.20600757722584387,0.7749781666143047
Joutsa,2020,-0.0173195519379288,0.2743611799637576,0.24163744581236293
Joutsa,2021,0.2094203552239763,0.5691146965322316,0.4933391188288019
Joutsa,2022,0.02047043258905543,0.7510657608101328,0.8125428006133828
Joutsa,2023,0.1527353784335001,1.2876106469658652,0.8348601967674011
Juuka,1997,-0.7731192424776124,-1.1117395565618058,-0.22994654752271435
Juuka,1998,-0.7731192424776124,-0.5841747906718,-0.22994654752271435
Juuka,1999,-0.7731192424776124,-0.5011922583370084,-0.22994654752271435
Juuka,2000,-0.7731192424776124,-0.30270798254467873,-0.22994654752271435
Juuka,2001,-0.7731192424776124,-0.2257009421617608,-0.22994654752271435
Juuka,2002,-0.7731192424776124,-0.023104621007518797,-0.22994654752271435
Juuka,2003,-0.7731192424776124,0.0718595227005337,-0.22994654752271435
Juuka,2004,-0.7731192424776124,0.7058803715693267,-0.22994654752271435
Juuka,2005,-0.7731192424776124,0.3612580776404285,-0.7378259616744404
Juuka,2006,-0.7731192424776124,0.6321931526766685,-0.6225452501020641
Juuka,2007,-0.7731192424776124,0.8313387941198831,-0.2602787312575451
Juuka,2008,-0.7731192424776124,0.8013917271834898,-1.136867496586504
Juuka,2009,-0.7731192424776124,1.106728949786194,-0.555670567310168
Juuka,2010,-0.7731192424776124,1.2647622676430033,-0.9041067922174073
Juuka,2011,-0.7731192424776124,1.5807128939917685,-1.0066568504646756
Juuka,2012,-0.7731192424776124,1.7604626914432273,-0.910549624550121
Juuka,2013,-0.5085893507887231,1.4771064502544706,-1.3020486865172987
Juuka,2014,-0.5085893507887231,1.6548721507532758,-1.1475538800275866
Juuka,2015,-0.5085893507887231,1.7657099959449516,-1.056712340163414
Juuka,2016,-0.3385344204172945,1.194715630277246,-0.8590771909436034
Juuka,2017,0.09605040164302382,1.255934351071879,-0.986066420899075
Juuka,2018,0.30389531654143676,1.5434026376225478,0.01892851829313475
Juuka,2019,0.3794752855954052,1.6761657800446648,0.3970696009589593
Juuka,2020,0.776270123128739,1.7610655875328445,0.07668877289204692
Juuka,2021,0.757375130865247,1.9031258990171727,0.7066090342444699
Juuka,2022,1.5320698136684225,2.705123751599955,1.4954226645352933
Juuka,2023,1.7210197363033437,2.733052382874023,2.004401719299192
Juupajoki,1997,-0.13068950551888128,-2.706921842183605,-1.1686941298992737
Juupajoki,1998,-0.13068950551888128,-1.185776307340542,-1.1686941298992737
Juupajoki,1999,-0.13068950551888128,-1.1991428308169967,-1.1686941298992737
Juupajoki,2000,-0.13068950551888128,-0.9920246072334185,-1.1686941298992737
Juupajoki,2001,-0.13068950551888128,-0.4077732308361921,-1.1686941298992737
Juupajoki,2002,-0.13068950551888128,-0.29504595258288113,-1.1686941298992737
Juupajoki,2003,-0.13068950551888128,-0.8805532384826117,-1.1686941298992737
Juupajoki,2004,-0.13068950551888128,-0.698643009532301,-1.1686941298992737
Juupajoki,2005,-0.13068950551888128,-0.43390523731956326,-0.40219789576246856
Juupajoki,2006,-0.13068950551888128,-0.42583149467026293,0.20658211571826773
Juupajoki,2007,-0.13068950551888128,0.6905149022843031,0.46048306995905114
Juupajoki,2008,-0.13068950551888128,0.2610011531052218,0.08965194322763358
Juupajoki,2009,-0.13068950551888128,0.06942937435070572,0.24477407569359133
Juupajoki,2010,-0.13068950551888128,-0.2870798670604357,0.7447162079346651
