Municipality,Year,Alcohol mortality per 100 000 inhabitants,"Entitled to special refunds on medicines for psychosis, as % of total population",Mental health visits in primary health care per 1000 inhabitants,"Psychiatric rehabilitation homes, clients on 31 Dec per population","Recipients of a disability pension due to mental and behavioural disorders aged 16-64, combined",Suicides per 100 000 inhabitants
Simo,2006,2.539230262915462,-1.1079034457137642,-0.060145691979036034,-0.05325330823129894,0.24883913594442855,0.9392116143683362
Simo,2007,1.6776583983681808,-0.9596415689078179,-0.018428824830648213,-0.050708749170841935,0.30224406638290774,-0.13591277123876158
Simo,2008,2.424354014309158,-0.8113796921018712,-0.022600511545486996,-0.03866335481414966,0.24883913594442855,1.9639395444001007
Simo,2009,1.3330296525492682,-0.9596415689078179,-0.018428824830648213,-0.023946237649017946,0.24883913594442855,0.7880222476423377
Simo,2010,0.040671855728345835,-1.1079034457137642,0.056661536036449855,0.18731422088688773,0.24883913594442855,1.157596255194778
Simo,2011,-0.00719324785761425,-0.9596415689078179,-0.17278123327968314,0.20482073747467566,0.24883913594442855,0.5192411512405638
Simo,2012,-0.41883313869687105,-1.1079034457137642,1.3123392372029232,0.20927394805901453,0.24883913594442855,-0.85826196781853
Simo,2013,-0.41883313869687105,-1.1079034457137642,0.8617970720003347,0.23705045099683314,0.19543420550594892,0.6200340623912288
Simo,2014,0.22255924935499405,-1.2561653225197111,0.9118573125784002,0.2608016883390114,0.08862434462899052,-0.8414631492934191
Simo,2015,-1.0793715681831204,-1.1079034457137642,0.9869476734454982,0.2845979146421837,0.19543420550594892,-1.1942383383207478
Simo,2016,0.7299293473661707,-0.9596415689078179,0.8993422524338839,0.3136058587783601,0.24883913594442855,0.30085651041412204
Simo,2017,0.10768300074868956,-0.6631178152959247,0.6615561096880732,0.3402545413335726,0.30224406638290774,0.21686241778856752
Simo,2018,0.17469414576903394,-0.6631178152959247,0.4821735809500056,0.3703090626280528,0.4624588576983457,-0.42149268616564667
Simo,2019,0.031098835011153684,-0.5148559384899779,0.7408181572700101,0.3977406607635307,0.4624588576983457,0.06567305106256968
Simo,2020,-0.5528554287375596,-0.8113796921018712,0.7908783978480755,0.41661731981946987,0.19543420550594892,-0.4046938676405355
Simo,2021,0.6437721609114426,-0.9596415689078179,1.3457127309216335,0.4401289828062822,0.1420292750674697,-0.3878950491154247
Simo,2022,0.5480419537395226,-0.8113796921018712,0.7575049041293653,0.4542794713654667,0.03521941419051089,-1.2446347938960804
