municipality,year,depression,involuntary_care,psychotic
Pihtipudas,2016,0.0491911423665571,-0.817649660030846,1.30109846395019
Pihtipudas,2017,0.504691806537602,-0.536378330018398,1.05694664737625
Pihtipudas,2018,0.62075331185606,-0.4050758682281,1.12522300371475
Pihtipudas,2019,1.18789933075276,-0.212107608466177,1.25979040298022
Pihtipudas,2020,1.76672749964551,-1.31457766675475,0.895625758686903
Pihtipudas,2021,1.75387716240989,-1.35412606075528,0.640578004776907
Pihtipudas,2022,2.13913095603789,-1.55762561480264,0.561220068809387
Pihtipudas,2023,2.38016549049041,-2.36557308077527,0.497483790160233
Pirkkala,1997,-1.00484926238802,-0.35689350040144,-0.948226209018901
Pirkkala,1998,-0.934971809963063,-0.545004669768024,-0.859658517841385
Pirkkala,1999,-0.809852431114445,-0.990761297797671,-0.669782392268617
Pirkkala,2000,-0.720257988487846,-0.60625553735094,-0.726694449248537
Pirkkala,2001,-0.701574905052385,-0.554726628145929,-0.546628274655226
Pirkkala,2002,-0.520074199486247,-0.946057462806845,-0.559708688940589
Pirkkala,2003,-0.45440300662274,-0.748277010692276,-0.540526762038135
Pirkkala,2004,-0.335499939257634,-0.619960375100073,-0.423726566069026
Pirkkala,2005,-0.0353583118253283,-0.406896525927161,-0.470333782525917
Pirkkala,2006,0.00667124931026659,-0.674631580510789,-0.356608735048002
Pirkkala,2007,0.0950901666688693,-0.604730814660965,-0.0639675283749245
Pirkkala,2008,0.19878119383667,-0.708453855547328,-0.122845120155116
Pirkkala,2009,0.1997248396003,-0.419479516159164,-0.195477290492033
Pirkkala,2010,0.147436159305771,-0.539781481604414,-0.465360097008423
Pirkkala,2011,0.289017642503237,-0.621996164185228,-0.534130592160716
Pirkkala,2012,0.397777594721399,-0.981202375820012,-0.556640792560209
Pirkkala,2013,0.344695771973868,-0.958370311589075,-0.351410239457755
Pirkkala,2014,0.486009394569537,-0.778205364980363,-0.531913531241988
Pirkkala,2015,0.696704366300745,-1.01681724604353,-0.52260774683286
Pirkkala,2016,0.694582580281157,-0.793354315499559,-0.599174397947745
Pirkkala,2017,0.923825061976479,0.365154139299591,-1.14373701457856
Pirkkala,2018,1.24846537904476,0.457546967012662,-0.879545316768593
Pirkkala,2019,1.95315841047694,0.332425549754169,-1.02947916537472
Pirkkala,2020,2.41943837434359,0.818283089922829,-0.923609144899051
Pirkkala,2021,2.54629942493227,0.963506468098742,-1.03706822209999
Pirkkala,2022,2.95138722474732,0.752924953564985,-1.0884766408327
Pirkkala,2023,3.18750077591375,0.750527497047327,-1.05473775681892
Polvijärvi,1997,-1.18229146503322,1.57767986345243,0.908545639006716
Polvijärvi,1998,-1.13768176058266,1.1631964636634,1.04404079450994
Polvijärvi,1999,-1.09162779939208,0.986461810222619,1.27067619185893
Polvijärvi,2000,-0.93257684168349,1.19876694422135,0.827164037419944
Polvijärvi,2001,-0.935939832211105,0.759121761856243,1.41471944706069
Polvijärvi,2002,-0.906296419513736,1.27803895473325,1.29392473871069
Polvijärvi,2003,-0.920763656450094,1.34332924580596,1.10927531241061
Polvijärvi,2004,-0.963443703660055,1.73068192008547,1.40017441045691
Polvijärvi,2005,-0.972902709949444,1.73757938668598,1.53480547682048
Polvijärvi,2006,-0.895426547329437,1.67833950290874,1.5039299718426
Polvijärvi,2007,-0.689914476994735,1.74055625982623,1.17700073836344
Polvijärvi,2008,-0.532788216611502,1.41867920611978,1.6096562429514
Polvijärvi,2009,-0.498264347991131,1.7076256327783,1.18862302503488
Polvijärvi,2010,-0.888600538136597,0.0684923781145453,1.6722903365839
Polvijärvi,2011,-0.801829060044314,-0.296094850576388,0.890852084878637
Polvijärvi,2012,-0.738661918487979,0.0730908294365875,1.36033260581654
Polvijärvi,2013,-1.03704250302954,-0.465519267869727,1.15978058762367
Polvijärvi,2014,-1.06308935064709,0.163677701236524,0.887369606611483
Polvijärvi,2015,-1.17111886377834,0.430031918236131,0.721635649103363
Polvijärvi,2016,-1.18341686624997,0.437993074209952,1.15684651926257
Polvijärvi,2017,-0.722658801290326,1.33205885490289,1.12546807764658
Polvijärvi,2018,-0.00054123592176464,2.0386355921262,1.63840255818514
Polvijärvi,2019,0.461801069422836,2.36233533495806,1.26504971058341
Polvijärvi,2020,0.68280781761376,1.31079990112995,1.21922801099707
Polvijärvi,2021,0.803308451909012,0.427741027649143,0.872216965556897
Polvijärvi,2022,1.43242459209406,0.286534064210434,0.53705981582708
Polvijärvi,2023,2.2078935607191,0.543494630564608,0.533897673375955
Pomarkku,1997,-1.28221605379045,-0.947447938721749,-0.740499116751681
Pomarkku,1998,-1.2295328609588,-1.06113400725572,-0.439404186110978
Pomarkku,1999,-0.951945852425184,-0.758307867036585,-0.393736708705087
Pomarkku,2000,-1.09061303255298,-0.956295140491688,-0.23165325271095
Pomarkku,2001,-1.02228815951522,-0.743686994521004,-0.213001678752095
Pomarkku,2002,-1.24242178919727,0.0538875956986205,-0.231876912937407
Pomarkku,2003,-1.14219512459757,0.48737168785926,-0.022717197946264
Pomarkku,2004,-1.04341271673788,0.755670849530253,0.00973780887380215
Pomarkku,2005,-0.52676445340283,0.796761578066688,0.270082005533206
Pomarkku,2006,-0.441686852601795,0.623918564783983,0.339891426909282
Pomarkku,2007,-0.266107818051216,0.91180343407872,0.125927565598121
Pomarkku,2008,-0.0837560986719726,1.16362664939986,0.115522630447127
Pomarkku,2009,-0.401837409989921,0.58505945695552,0.392903169785675
Pomarkku,2010,-0.0249235358100644,0.856226783509089,0.420013767639017
Pomarkku,2011,0.582768552401333,0.451928146891568,0.17333435548714
Pomarkku,2012,0.303902360247138,1.12957651261977,0.158431465873921
Pomarkku,2013,0.0504826573962787,-0.116902107324231,-0.120715104546196
Pomarkku,2014,0.116235005531472,0.119602196139237,0.0970408308099914
Pomarkku,2015,1.00274810487212,0.751929490932548,-0.0444301522321262
Pomarkku,2016,-0.058387824388813,0.42053765249906,0.225435781950211
Pomarkku,2017,0.376771089663236,0.577734918732273,0.0302970847779249
Pomarkku,2018,0.95017683174304,0.551178824608732,-0.219082103495771
Pomarkku,2019,1.36452519779938,1.04880545175878,0.218459189001813
Pomarkku,2020,1.75214176774193,-0.21316665673849,0.0519327592975786
Pomarkku,2021,0.847143417362956,-0.867961604878783,-0.0296741514932351
Pomarkku,2022,1.90536943349884,-0.458280306310166,0.308074807000722
Pomarkku,2023,2.03216266757917,-0.671879327358753,0.323384759014898
Pori,1997,-1.40521913990947,-0.0241200534141175,-0.90761802239593
Pori,1998,-1.34275217761374,-0.0780079207408062,-0.626850460323357
Pori,1999,-1.18528021533837,0.241697567330553,-0.49365768607027
Pori,2000,-1.04370531241038,0.322150439866178,-0.442123716950483
Pori,2001,-1.01539616120664,0.222683995696502,-0.488111387395055
Pori,2002,-0.894732011567936,0.574354034781156,-0.297189809582987
Pori,2003,-0.814600511227654,0.770068064917864,-0.189743661684134
Pori,2004,-0.781629495823384,1.12601933707196,-0.168038647868963
Pori,2005,-0.696115626757375,1.04439688675972,0.0182096586203689
Pori,2006,-0.421929252449382,1.14774046428795,0.127128804717585
Pori,2007,-0.0344997661645947,1.38189244195882,-0.0884619921126856
Pori,2008,0.0729845850948629,1.82877707388544,-0.0700247627704158
Pori,2009,0.147852176473751,1.5205440162082,0.291594414176027
Pori,2010,0.353483549741348,1.47273256687866,0.228508684189676
Pori,2011,0.249703083775263,1.14526417372229,0.160568980702627
Pori,2012,0.357438135705829,1.21183441140259,0.254481976520795
Pori,2013,0.268519526011583,0.912888168750971,0.038790563644708
Pori,2014,0.244330189311211,0.331691027466133,0.139649229866963
Pori,2015,0.37680307438573,0.78806694606426,-0.0205171056483404
Pori,2016,0.316615754699001,0.880570753273692,0.300876511261615
Pori,2017,0.735220059875758,1.04323743107483,0.0329377467110229
Pori,2018,1.1718981300835,0.881363423428904,-0.214004091722351
Pori,2019,1.68064723759797,1.26728863855385,0.126765272002332
Pori,2020,1.93696834139066,-0.0694446068104645,-0.0342624383642814
Pori,2021,2.50152613578242,-0.0012136669200346,-0.210675440888244
Pori,2022,2.71634368673983,-0.193308264314104,0.0614345941709833
Pori,2023,2.84082675597546,0.162836039161265,-0.000367968792710224
Pornainen,1997,-1.14809760457808,-0.316548824560653,-1.22765904442849
Pornainen,1998,-1.09979618797593,-0.153010056086387,-1.232093671743
Pornainen,1999,-0.933307338228208,0.810187629819967,-1.58429058078635
Pornainen,2000,-1.002999336396,-0.43528857678281,-1.34517519604052
Pornainen,2001,-0.830318670807075,0.0178793851073762,-1.3092200456852
Pornainen,2002,-0.783782039979166,0.161803295087012,-1.45863323328178
Pornainen,2003,-0.725746232961553,0.535881861700441,-1.55578868575333
Pornainen,2004,-0.637613490518509,0.0573582063663072,-1.31111339628657
Pornainen,2005,-0.983421409698232,-0.688116831975798,-1.18911414180293
Pornainen,2006,-0.750065215882731,-0.602071356068937,-1.32278114399237
Pornainen,2007,-0.691637055998815,-0.503498666390871,-1.35166824712151
Pornainen,2008,-0.495715405641859,-0.519594148623156,-1.26823896612223
Pornainen,2009,-0.131038123562585,-0.388952958877291,-0.986751458674808
Pornainen,2010,0.0498241175790706,-0.476209188992105,-1.0374294910766
Pornainen,2011,-0.604950511480471,-0.564054118708413,-1.26162873073737
Pornainen,2012,-0.503646390797893,-0.404578315036833,-1.07900998866468
