"Year","Municipality","Type of debt","Household-dwelling units","Debts (euros)","Debts, mean (euros)"
"2017","Posio","Loans charged on business activities or a source of income","All household-dwelling units",6446618,4032
"2017","Posio","Study loans","All household-dwelling units",.,.
"2017","Salla","Debts total","All household-dwelling units",40811791,22498
"2017","Salla","Housing loans","All household-dwelling units",20677315,11399
"2017","Salla","Other debts","All household-dwelling units",18732909,10327
"2017","Salla","Loans charged on business activities or a source of income","All household-dwelling units",1401567,773
"2017","Salla","Study loans","All household-dwelling units",.,.
"2017","Savukoski","Debts total","All household-dwelling units",11229949,22641
"2017","Savukoski","Housing loans","All household-dwelling units",5215735,10516
"2017","Savukoski","Other debts","All household-dwelling units",4300258,8670
"2017","Savukoski","Loans charged on business activities or a source of income","All household-dwelling units",1713959,3456
"2017","Savukoski","Study loans","All household-dwelling units",.,.
"2017","Kemi","Debts total","All household-dwelling units",312765710,27421
"2017","Kemi","Housing loans","All household-dwelling units",224877937,19716
"2017","Kemi","Other debts","All household-dwelling units",71057617,6230
"2017","Kemi","Loans charged on business activities or a source of income","All household-dwelling units",16830120,1476
"2017","Kemi","Study loans","All household-dwelling units",.,.
"2017","Keminmaa","Debts total","All household-dwelling units",181672452,48074
"2017","Keminmaa","Housing loans","All household-dwelling units",129295024,34214
"2017","Keminmaa","Other debts","All household-dwelling units",44012433,11647
"2017","Keminmaa","Loans charged on business activities or a source of income","All household-dwelling units",8364974,2214
"2017","Keminmaa","Study loans","All household-dwelling units",.,.
"2017","Simo","Debts total","All household-dwelling units",47105607,33196
"2017","Simo","Housing loans","All household-dwelling units",30704726,21638
"2017","Simo","Other debts","All household-dwelling units",14356058,10117
"2017","Simo","Loans charged on business activities or a source of income","All household-dwelling units",2044832,1441
"2017","Simo","Study loans","All household-dwelling units",.,.
"2017","Tervola","Debts total","All household-dwelling units",61734580,41911
"2017","Tervola","Housing loans","All household-dwelling units",28219612,19158
"2017","Tervola","Other debts","All household-dwelling units",26527526,18009
"2017","Tervola","Loans charged on business activities or a source of income","All household-dwelling units",6987422,4744
"2017","Tervola","Study loans","All household-dwelling units",.,.
"2017","Tornio","Debts total","All household-dwelling units",535358156,52538
"2017","Tornio","Housing loans","All household-dwelling units",373324308,36636
"2017","Tornio","Other debts","All household-dwelling units",133754615,13126
"2017","Tornio","Loans charged on business activities or a source of income","All household-dwelling units",28279215,2775
"2017","Tornio","Study loans","All household-dwelling units",.,.
"2017","Inari","Debts total","All household-dwelling units",126016750,38978
"2017","Inari","Housing loans","All household-dwelling units",82288349,25453
"2017","Inari","Other debts","All household-dwelling units",37500714,11599
"2017","Inari","Loans charged on business activities or a source of income","All household-dwelling units",6227709,1926
"2017","Inari","Study loans","All household-dwelling units",.,.
"2017","Sodankylä","Debts total","All household-dwelling units",147738710,36131
"2017","Sodankylä","Housing loans","All household-dwelling units",101109359,24727
"2017","Sodankylä","Other debts","All household-dwelling units",40498246,9904
"2017","Sodankylä","Loans charged on business activities or a source of income","All household-dwelling units",6131120,1499
"2017","Sodankylä","Study loans","All household-dwelling units",.,.
"2017","Utsjoki","Debts total","All household-dwelling units",21062098,35638
"2017","Utsjoki","Housing loans","All household-dwelling units",11517121,19488
"2017","Utsjoki","Other debts","All household-dwelling units",7273500,12307
"2017","Utsjoki","Loans charged on business activities or a source of income","All household-dwelling units",2271485,3843
"2017","Utsjoki","Study loans","All household-dwelling units",.,.
"2017","Ranua","Debts total","All household-dwelling units",50662747,29679
"2017","Ranua","Housing loans","All household-dwelling units",27903438,16346
"2017","Ranua","Other debts","All household-dwelling units",19218423,11259
"2017","Ranua","Loans charged on business activities or a source of income","All household-dwelling units",3540904,2074
"2017","Ranua","Study loans","All household-dwelling units",.,.
"2017","Rovaniemi","Debts total","All household-dwelling units",1450269711,46616
"2017","Rovaniemi","Housing loans","All household-dwelling units",1074760088,34546
"2017","Rovaniemi","Other debts","All household-dwelling units",302789158,9733
"2017","Rovaniemi","Loans charged on business activities or a source of income","All household-dwelling units",72720562,2337
"2017","Rovaniemi","Study loans","All household-dwelling units",.,.
"2017","Pello","Debts total","All household-dwelling units",46835810,26506
"2017","Pello","Housing loans","All household-dwelling units",29574483,16737
"2017","Pello","Other debts","All household-dwelling units",14960454,8467
"2017","Pello","Loans charged on business activities or a source of income","All household-dwelling units",2300887,1302
"2017","Pello","Study loans","All household-dwelling units",.,.
"2017","Ylitornio","Debts total","All household-dwelling units",68812620,33948
"2017","Ylitornio","Housing loans","All household-dwelling units",33549075,16551
"2017","Ylitornio","Other debts","All household-dwelling units",25814301,12735
"2017","Ylitornio","Loans charged on business activities or a source of income","All household-dwelling units",9449236,4662
"2017","Ylitornio","Study loans","All household-dwelling units",.,.
"2017","Enontekiö","Debts total","All household-dwelling units",26339032,30951
"2017","Enontekiö","Housing loans","All household-dwelling units",15274720,17949
"2017","Enontekiö","Other debts","All household-dwelling units",9973024,11719
"2017","Enontekiö","Loans charged on business activities or a source of income","All household-dwelling units",1091284,1282
"2017","Enontekiö","Study loans","All household-dwelling units",.,.
"2017","Kittilä","Debts total","All household-dwelling units",121880728,42690
"2017","Kittilä","Housing loans","All household-dwelling units",85649289,30000
"2017","Kittilä","Other debts","All household-dwelling units",30378610,10640
"2017","Kittilä","Loans charged on business activities or a source of income","All household-dwelling units",5852824,2050
"2017","Kittilä","Study loans","All household-dwelling units",.,.
"2017","Kolari","Debts total","All household-dwelling units",62992859,35549
"2017","Kolari","Housing loans","All household-dwelling units",44055143,24862
"2017","Kolari","Other debts","All household-dwelling units",16881741,9527
"2017","Kolari","Loans charged on business activities or a source of income","All household-dwelling units",2055999,1160
"2017","Kolari","Study loans","All household-dwelling units",.,.
"2017","Muonio","Debts total","All household-dwelling units",39341192,38875
"2017","Muonio","Housing loans","All household-dwelling units",28352476,28016
"2017","Muonio","Other debts","All household-dwelling units",10263097,10141
"2017","Muonio","Loans charged on business activities or a source of income","All household-dwelling units",725615,717
"2017","Muonio","Study loans","All household-dwelling units",.,.
"2017","Maarianhamina - Mariehamn","Debts total","All household-dwelling units",417985339,68815
"2017","Maarianhamina - Mariehamn","Housing loans","All household-dwelling units",294893116,48550
"2017","Maarianhamina - Mariehamn","Other debts","All household-dwelling units",105282585,17333
"2017","Maarianhamina - Mariehamn","Loans charged on business activities or a source of income","All household-dwelling units",17809638,2932
"2017","Maarianhamina - Mariehamn","Study loans","All household-dwelling units",.,.
"2017","Eckerö","Debts total","All household-dwelling units",30744592,67719
"2017","Eckerö","Housing loans","All household-dwelling units",20337094,44795
"2017","Eckerö","Other debts","All household-dwelling units",8323164,18333
"2017","Eckerö","Loans charged on business activities or a source of income","All household-dwelling units",2084340,4591
"2017","Eckerö","Study loans","All household-dwelling units",.,.
"2017","Finström","Debts total","All household-dwelling units",102976074,91129
"2017","Finström","Housing loans","All household-dwelling units",72934366,64544
"2017","Finström","Other debts","All household-dwelling units",22791578,20170
"2017","Finström","Loans charged on business activities or a source of income","All household-dwelling units",7250135,6416
"2017","Finström","Study loans","All household-dwelling units",.,.
"2017","Geta","Debts total","All household-dwelling units",20293911,89008
"2017","Geta","Housing loans","All household-dwelling units",11876449,52090
"2017","Geta","Other debts","All household-dwelling units",6783361,29752
"2017","Geta","Loans charged on business activities or a source of income","All household-dwelling units",1634097,7167
"2017","Geta","Study loans","All household-dwelling units",.,.
"2017","Hammarland","Debts total","All household-dwelling units",57558552,82462
"2017","Hammarland","Housing loans","All household-dwelling units",38660041,55387
"2017","Hammarland","Other debts","All household-dwelling units",13768279,19725
"2017","Hammarland","Loans charged on business activities or a source of income","All household-dwelling units",5130222,7350
"2017","Hammarland","Study loans","All household-dwelling units",.,.
"2017","Jomala","Debts total","All household-dwelling units",258044134,132534
"2017","Jomala","Housing loans","All household-dwelling units",193598327,99434
"2017","Jomala","Other debts","All household-dwelling units",53174973,27311
"2017","Jomala","Loans charged on business activities or a source of income","All household-dwelling units",11270818,5789
"2017","Jomala","Study loans","All household-dwelling units",.,.
"2017","Lemland","Debts total","All household-dwelling units",99105342,121008
"2017","Lemland","Housing loans","All household-dwelling units",71968903,87874
"2017","Lemland","Other debts","All household-dwelling units",23609565,28827
"2017","Lemland","Loans charged on business activities or a source of income","All household-dwelling units",3526869,4306
"2017","Lemland","Study loans","All household-dwelling units",.,.
"2017","Lumparland","Debts total","All household-dwelling units",16060175,91251
"2017","Lumparland","Housing loans","All household-dwelling units",10133108,57574
"2017","Lumparland","Other debts","All household-dwelling units",5472376,31093
"2017","Lumparland","Loans charged on business activities or a source of income","All household-dwelling units",454701,2584
"2017","Lumparland","Study loans","All household-dwelling units",.,.
"2017","Saltvik","Debts total","All household-dwelling units",72117546,87309
"2017","Saltvik","Housing loans","All household-dwelling units",49125611,59474
"2017","Saltvik","Other debts","All household-dwelling units",18398419,22274
"2017","Saltvik","Loans charged on business activities or a source of income","All household-dwelling units",4593522,5561
"2017","Saltvik","Study loans","All household-dwelling units",.,.
"2017","Sund","Debts total","All household-dwelling units",36985605,75327
"2017","Sund","Housing loans","All household-dwelling units",26654539,54286
"2017","Sund","Other debts","All household-dwelling units",8733825,17788
"2017","Sund","Loans charged on business activities or a source of income","All household-dwelling units",1597242,3253
"2017","Sund","Study loans","All household-dwelling units",.,.
"2017","Brändö","Debts total","All household-dwelling units",10953915,48255
"2017","Brändö","Housing loans","All household-dwelling units",6982078,30758
"2017","Brändö","Other debts","All household-dwelling units",3293214,14508
"2017","Brändö","Loans charged on business activities or a source of income","All household-dwelling units",678623,2990
"2017","Brändö","Study loans","All household-dwelling units",.,.
"2017","Föglö","Debts total","All household-dwelling units",13876181,54416
"2017","Föglö","Housing loans","All household-dwelling units",6665398,26139
"2017","Föglö","Other debts","All household-dwelling units",5429857,21294
"2017","Föglö","Loans charged on business activities or a source of income","All household-dwelling units",1780936,6984
"2017","Föglö","Study loans","All household-dwelling units",.,.
"2017","Kumlinge","Debts total","All household-dwelling units",7160720,43663
"2017","Kumlinge","Housing loans","All household-dwelling units",4357477,26570
"2017","Kumlinge","Other debts","All household-dwelling units",2403970,14658
"2017","Kumlinge","Loans charged on business activities or a source of income","All household-dwelling units",399277,2435
"2017","Kumlinge","Study loans","All household-dwelling units",.,.
"2017","Kökar","Debts total","All household-dwelling units",6185214,51117
"2017","Kökar","Housing loans","All household-dwelling units",2083673,17220
"2017","Kökar","Other debts","All household-dwelling units",2988888,24702
"2017","Kökar","Loans charged on business activities or a source of income","All household-dwelling units",1112654,9195
"2017","Kökar","Study loans","All household-dwelling units",.,.
"2017","Sottunga","Debts total","All household-dwelling units",2417622,44771
"2017","Sottunga","Housing loans","All household-dwelling units",1214398,22489
"2017","Sottunga","Other debts","All household-dwelling units",1128272,20894
"2017","Sottunga","Loans charged on business activities or a source of income","All household-dwelling units",...,...
"2017","Sottunga","Study loans","All household-dwelling units",.,.
"2017","Vårdö","Debts total","All household-dwelling units",15985193,80328
"2017","Vårdö","Housing loans","All household-dwelling units",8556339,42997
"2017","Vårdö","Other debts","All household-dwelling units",4985453,25053
"2017","Vårdö","Loans charged on business activities or a source of income","All household-dwelling units",2443394,12278
"2017","Vårdö","Study loans","All household-dwelling units",.,.
"2018","Espoo","Debts total","All household-dwelling units",10487867184,83322
"2018","Espoo","Housing loans","All household-dwelling units",8034593842,63832
"2018","Espoo","Other debts","All household-dwelling units",1776071721,14110
"2018","Espoo","Loans charged on business activities or a source of income","All household-dwelling units",677202009,5380
"2018","Espoo","Study loans","All household-dwelling units",.,.
"2018","Helsinki","Debts total","All household-dwelling units",20821138023,62141
"2018","Helsinki","Housing loans","All household-dwelling units",15147524061,45208
"2018","Helsinki","Other debts","All household-dwelling units",4089330082,12205
"2018","Helsinki","Loans charged on business activities or a source of income","All household-dwelling units",1584284202,4728
"2018","Helsinki","Study loans","All household-dwelling units",.,.
"2018","Hyvinkää","Debts total","All household-dwelling units",1283112595,55909
"2018","Hyvinkää","Housing loans","All household-dwelling units",979723343,42689
"2018","Hyvinkää","Other debts","All household-dwelling units",238727637,10402
"2018","Hyvinkää","Loans charged on business activities or a source of income","All household-dwelling units",64661656,2818
"2018","Hyvinkää","Study loans","All household-dwelling units",.,.
"2018","Järvenpää","Debts total","All household-dwelling units",1373198182,65328
"2018","Järvenpää","Housing loans","All household-dwelling units",1091923073,51947
"2018","Järvenpää","Other debts","All household-dwelling units",228261803,10859
"2018","Järvenpää","Loans charged on business activities or a source of income","All household-dwelling units",53013324,2522
"2018","Järvenpää","Study loans","All household-dwelling units",.,.
"2018","Karkkila","Debts total","All household-dwelling units",210630058,50055
"2018","Karkkila","Housing loans","All household-dwelling units",153373611,36448
"2018","Karkkila","Other debts","All household-dwelling units",48044699,11417
"2018","Karkkila","Loans charged on business activities or a source of income","All household-dwelling units",9211765,2189
"2018","Karkkila","Study loans","All household-dwelling units",.,.
"2018","Kauniainen","Debts total","All household-dwelling units",576879061,143182
"2018","Kauniainen","Housing loans","All household-dwelling units",380018234,94321
"2018","Kauniainen","Other debts","All household-dwelling units",122861461,30494
"2018","Kauniainen","Loans charged on business activities or a source of income","All household-dwelling units",73999387,18367
"2018","Kauniainen","Study loans","All household-dwelling units",.,.
"2018","Kerava","Debts total","All household-dwelling units",933792033,52299
"2018","Kerava","Housing loans","All household-dwelling units",726372721,40682
"2018","Kerava","Other debts","All household-dwelling units",168913348,9460
"2018","Kerava","Loans charged on business activities or a source of income","All household-dwelling units",38506027,2157
"2018","Kerava","Study loans","All household-dwelling units",.,.
"2018","Kirkkonummi","Debts total","All household-dwelling units",1498015769,89960
"2018","Kirkkonummi","Housing loans","All household-dwelling units",1169130994,70210
"2018","Kirkkonummi","Other debts","All household-dwelling units",270561372,16248
"2018","Kirkkonummi","Loans charged on business activities or a source of income","All household-dwelling units",58323543,3502
"2018","Kirkkonummi","Study loans","All household-dwelling units",.,.
"2018","Lohja","Debts total","All household-dwelling units",1332504751,61079
"2018","Lohja","Housing loans","All household-dwelling units",976470128,44759
"2018","Lohja","Other debts","All household-dwelling units",276611331,12679
"2018","Lohja","Loans charged on business activities or a source of income","All household-dwelling units",79423331,3641
"2018","Lohja","Study loans","All household-dwelling units",.,.
"2018","Mäntsälä","Debts total","All household-dwelling units",708360086,79645
"2018","Mäntsälä","Housing loans","All household-dwelling units",540992131,60827
"2018","Mäntsälä","Other debts","All household-dwelling units",131920969,14833
"2018","Mäntsälä","Loans charged on business activities or a source of income","All household-dwelling units",35447020,3985
"2018","Mäntsälä","Study loans","All household-dwelling units",.,.
"2018","Nurmijärvi","Debts total","All household-dwelling units",1545566277,86752
"2018","Nurmijärvi","Housing loans","All household-dwelling units",1231670420,69133
"2018","Nurmijärvi","Other debts","All household-dwelling units",256763310,14412
"2018","Nurmijärvi","Loans charged on business activities or a source of income","All household-dwelling units",57132635,3207
"2018","Nurmijärvi","Study loans","All household-dwelling units",.,.
"2018","Pornainen","Debts total","All household-dwelling units",193534800,99966
"2018","Pornainen","Housing loans","All household-dwelling units",148580365,76746
"2018","Pornainen","Other debts","All household-dwelling units",37765696,19507
"2018","Pornainen","Loans charged on business activities or a source of income","All household-dwelling units",7188747,3713
"2018","Pornainen","Study loans","All household-dwelling units",.,.
"2018","Sipoo","Debts total","All household-dwelling units",879270309,101509
"2018","Sipoo","Housing loans","All household-dwelling units",672681718,77659
"2018","Sipoo","Other debts","All household-dwelling units",162215581,18727
"2018","Sipoo","Loans charged on business activities or a source of income","All household-dwelling units",44373085,5123
"2018","Sipoo","Study loans","All household-dwelling units",.,.
"2018","Siuntio","Debts total","All household-dwelling units",244195110,95203
"2018","Siuntio","Housing loans","All household-dwelling units",184966156,72112
"2018","Siuntio","Other debts","All household-dwelling units",42251033,16472
"2018","Siuntio","Loans charged on business activities or a source of income","All household-dwelling units",16977917,6619
"2018","Siuntio","Study loans","All household-dwelling units",.,.
"2018","Tuusula","Debts total","All household-dwelling units",1413911796,85505
"2018","Tuusula","Housing loans","All household-dwelling units",1105737895,66869
"2018","Tuusula","Other debts","All household-dwelling units",249317899,15077
"2018","Tuusula","Loans charged on business activities or a source of income","All household-dwelling units",58855994,3559
"2018","Tuusula","Study loans","All household-dwelling units",.,.
"2018","Vantaa","Debts total","All household-dwelling units",6440883807,59949
"2018","Vantaa","Housing loans","All household-dwelling units",5129904505,47747
"2018","Vantaa","Other debts","All household-dwelling units",1067664293,9937
"2018","Vantaa","Loans charged on business activities or a source of income","All household-dwelling units",243315265,2265
"2018","Vantaa","Study loans","All household-dwelling units",.,.
"2018","Vihti","Debts total","All household-dwelling units",1057298885,81942
"2018","Vihti","Housing loans","All household-dwelling units",827399542,64125
"2018","Vihti","Other debts","All household-dwelling units",185900021,14408
"2018","Vihti","Loans charged on business activities or a source of income","All household-dwelling units",43999352,3410
"2018","Vihti","Study loans","All household-dwelling units",.,.
"2018","Lapinjärvi","Debts total","All household-dwelling units",67409782,53500
"2018","Lapinjärvi","Housing loans","All household-dwelling units",37166913,29498
"2018","Lapinjärvi","Other debts","All household-dwelling units",22192142,17613
"2018","Lapinjärvi","Loans charged on business activities or a source of income","All household-dwelling units",8050735,6389
"2018","Lapinjärvi","Study loans","All household-dwelling units",.,.
"2018","Loviisa","Debts total","All household-dwelling units",387498792,51729
"2018","Loviisa","Housing loans","All household-dwelling units",272597044,36390
"2018","Loviisa","Other debts","All household-dwelling units",97529358,13020
"2018","Loviisa","Loans charged on business activities or a source of income","All household-dwelling units",17372430,2319
"2018","Loviisa","Study loans","All household-dwelling units",.,.
"2018","Askola","Debts total","All household-dwelling units",179201887,86279
"2018","Askola","Housing loans","All household-dwelling units",123454492,59439
"2018","Askola","Other debts","All household-dwelling units",40849052,19667
"2018","Askola","Loans charged on business activities or a source of income","All household-dwelling units",14898371,7173
"2018","Askola","Study loans","All household-dwelling units",.,.
"2018","Myrskylä","Debts total","All household-dwelling units",51919525,59134
"2018","Myrskylä","Housing loans","All household-dwelling units",29290128,33360
"2018","Myrskylä","Other debts","All household-dwelling units",15709191,17892
"2018","Myrskylä","Loans charged on business activities or a source of income","All household-dwelling units",6920211,7882
"2018","Myrskylä","Study loans","All household-dwelling units",.,.
"2018","Porvoo","Debts total","All household-dwelling units",1713328607,73597
"2018","Porvoo","Housing loans","All household-dwelling units",1293165995,55548
"2018","Porvoo","Other debts","All household-dwelling units",330544036,14199
"2018","Porvoo","Loans charged on business activities or a source of income","All household-dwelling units",89618612,3850
"2018","Porvoo","Study loans","All household-dwelling units",.,.
"2018","Pukkila","Debts total","All household-dwelling units",55872775,64518
"2018","Pukkila","Housing loans","All household-dwelling units",33039645,38152
"2018","Pukkila","Other debts","All household-dwelling units",18258372,21084
"2018","Pukkila","Loans charged on business activities or a source of income","All household-dwelling units",4574755,5283
"2018","Pukkila","Study loans","All household-dwelling units",.,.
"2018","Hanko","Debts total","All household-dwelling units",209879604,48138
"2018","Hanko","Housing loans","All household-dwelling units",152727675,35029
"2018","Hanko","Other debts","All household-dwelling units",48171218,11048
"2018","Hanko","Loans charged on business activities or a source of income","All household-dwelling units",8980688,2060
"2018","Hanko","Study loans","All household-dwelling units",.,.
"2018","Inkoo","Debts total","All household-dwelling units",197762975,82230
"2018","Inkoo","Housing loans","All household-dwelling units",137797250,57296
"2018","Inkoo","Other debts","All household-dwelling units",50081103,20824
"2018","Inkoo","Loans charged on business activities or a source of income","All household-dwelling units",9884644,4110
"2018","Inkoo","Study loans","All household-dwelling units",.,.
"2018","Raasepori","Debts total","All household-dwelling units",749113741,55139
"2018","Raasepori","Housing loans","All household-dwelling units",531354166,39110
"2018","Raasepori","Other debts","All household-dwelling units",174870326,12871
"2018","Raasepori","Loans charged on business activities or a source of income","All household-dwelling units",42889241,3157
"2018","Raasepori","Study loans","All household-dwelling units",.,.
"2018","Aura","Debts total","All household-dwelling units",125107437,70523
"2018","Aura","Housing loans","All household-dwelling units",89623019,50520
"2018","Aura","Other debts","All household-dwelling units",29009209,16352
"2018","Aura","Loans charged on business activities or a source of income","All household-dwelling units",6475227,3650
"2018","Aura","Study loans","All household-dwelling units",.,.
"2018","Koski Tl","Debts total","All household-dwelling units",64552674,54752
"2018","Koski Tl","Housing loans","All household-dwelling units",25625698,21735
"2018","Koski Tl","Other debts","All household-dwelling units",29149958,24724
"2018","Koski Tl","Loans charged on business activities or a source of income","All household-dwelling units",9777034,8293
"2018","Koski Tl","Study loans","All household-dwelling units",.,.
"2018","Loimaa","Debts total","All household-dwelling units",367901423,45347
"2018","Loimaa","Housing loans","All household-dwelling units",191762443,23636
"2018","Loimaa","Other debts","All household-dwelling units",127359107,15698
"2018","Loimaa","Loans charged on business activities or a source of income","All household-dwelling units",48779919,6013
"2018","Loimaa","Study loans","All household-dwelling units",.,.
"2018","Marttila","Debts total","All household-dwelling units",60480932,63067
"2018","Marttila","Housing loans","All household-dwelling units",30651601,31962
"2018","Marttila","Other debts","All household-dwelling units",22150970,23098
"2018","Marttila","Loans charged on business activities or a source of income","All household-dwelling units",7678360,8007
"2018","Marttila","Study loans","All household-dwelling units",.,.
"2018","Oripää","Debts total","All household-dwelling units",33342946,53866
"2018","Oripää","Housing loans","All household-dwelling units",17083938,27599
"2018","Oripää","Other debts","All household-dwelling units",13774009,22252
"2018","Oripää","Loans charged on business activities or a source of income","All household-dwelling units",2484991,4015
"2018","Oripää","Study loans","All household-dwelling units",.,.
"2018","Pöytyä","Debts total","All household-dwelling units",233723201,61555
"2018","Pöytyä","Housing loans","All household-dwelling units",122745966,32327
"2018","Pöytyä","Other debts","All household-dwelling units",83722508,22050
"2018","Pöytyä","Loans charged on business activities or a source of income","All household-dwelling units",27254732,7178
"2018","Pöytyä","Study loans","All household-dwelling units",.,.
"2018","Salo","Debts total","All household-dwelling units",1228233228,47153
"2018","Salo","Housing loans","All household-dwelling units",803719304,30855
"2018","Salo","Other debts","All household-dwelling units",316964049,12168
"2018","Salo","Loans charged on business activities or a source of income","All household-dwelling units",107549871,4129
"2018","Salo","Study loans","All household-dwelling units",.,.
"2018","Somero","Debts total","All household-dwelling units",222649942,50822
"2018","Somero","Housing loans","All household-dwelling units",108540837,24775
"2018","Somero","Other debts","All household-dwelling units",77334417,17652
"2018","Somero","Loans charged on business activities or a source of income","All household-dwelling units",36774717,8394
"2018","Somero","Study loans","All household-dwelling units",.,.
"2018","Kaarina","Debts total","All household-dwelling units",1196025538,80584
"2018","Kaarina","Housing loans","All household-dwelling units",922176412,62133
"2018","Kaarina","Other debts","All household-dwelling units",201682516,13589
"2018","Kaarina","Loans charged on business activities or a source of income","All household-dwelling units",72166637,4862
"2018","Kaarina","Study loans","All household-dwelling units",.,.
"2018","Lieto","Debts total","All household-dwelling units",695604754,84675
"2018","Lieto","Housing loans","All household-dwelling units",525993941,64028
"2018","Lieto","Other debts","All household-dwelling units",137725186,16765
"2018","Lieto","Loans charged on business activities or a source of income","All household-dwelling units",31885653,3881
"2018","Lieto","Study loans","All household-dwelling units",.,.
"2018","Masku","Debts total","All household-dwelling units",367535014,95662
"2018","Masku","Housing loans","All household-dwelling units",276166415,71881
"2018","Masku","Other debts","All household-dwelling units",71119542,18511
"2018","Masku","Loans charged on business activities or a source of income","All household-dwelling units",20249052,5270
"2018","Masku","Study loans","All household-dwelling units",.,.
"2018","Mynämäki","Debts total","All household-dwelling units",223327428,61744
"2018","Mynämäki","Housing loans","All household-dwelling units",138064297,38171
"2018","Mynämäki","Other debts","All household-dwelling units",63423612,17535
"2018","Mynämäki","Loans charged on business activities or a source of income","All household-dwelling units",21839546,6038
"2018","Mynämäki","Study loans","All household-dwelling units",.,.
"2018","Naantali","Debts total","All household-dwelling units",675959162,74070
"2018","Naantali","Housing loans","All household-dwelling units",489412566,53628
"2018","Naantali","Other debts","All household-dwelling units",142978359,15667
"2018","Naantali","Loans charged on business activities or a source of income","All household-dwelling units",43568224,4774
"2018","Naantali","Study loans","All household-dwelling units",.,.
"2018","Nousiainen","Debts total","All household-dwelling units",159747171,81172
"2018","Nousiainen","Housing loans","All household-dwelling units",113544951,57696
"2018","Nousiainen","Other debts","All household-dwelling units",38908873,19771
"2018","Nousiainen","Loans charged on business activities or a source of income","All household-dwelling units",7293361,3706
"2018","Nousiainen","Study loans","All household-dwelling units",.,.
"2018","Paimio","Debts total","All household-dwelling units",346196179,70294
"2018","Paimio","Housing loans","All household-dwelling units",255405123,51859
"2018","Paimio","Other debts","All household-dwelling units",63521943,12898
"2018","Paimio","Loans charged on business activities or a source of income","All household-dwelling units",27269101,5537
"2018","Paimio","Study loans","All household-dwelling units",.,.
"2018","Raisio","Debts total","All household-dwelling units",665073772,56844
"2018","Raisio","Housing loans","All household-dwelling units",519106078,44368
"2018","Raisio","Other debts","All household-dwelling units",119348296,10201
"2018","Raisio","Loans charged on business activities or a source of income","All household-dwelling units",26619431,2275
"2018","Raisio","Study loans","All household-dwelling units",.,.
"2018","Rusko","Debts total","All household-dwelling units",258130660,103294
"2018","Rusko","Housing loans","All household-dwelling units",178386557,71383
"2018","Rusko","Other debts","All household-dwelling units",69261478,27716
"2018","Rusko","Loans charged on business activities or a source of income","All household-dwelling units",10482672,4195
"2018","Rusko","Study loans","All household-dwelling units",.,.
"2018","Sauvo","Debts total","All household-dwelling units",110274166,81443
"2018","Sauvo","Housing loans","All household-dwelling units",61631019,45518
"2018","Sauvo","Other debts","All household-dwelling units",33919386,25051
"2018","Sauvo","Loans charged on business activities or a source of income","All household-dwelling units",14723741,10874
"2018","Sauvo","Study loans","All household-dwelling units",.,.
"2018","Turku","Debts total","All household-dwelling units",4437065264,42248
"2018","Turku","Housing loans","All household-dwelling units",3058407756,29121
"2018","Turku","Other debts","All household-dwelling units",1051556173,10012
"2018","Turku","Loans charged on business activities or a source of income","All household-dwelling units",327101485,3115
"2018","Turku","Study loans","All household-dwelling units",.,.
"2018","Kustavi","Debts total","All household-dwelling units",21755361,45042
"2018","Kustavi","Housing loans","All household-dwelling units",12202576,25264
"2018","Kustavi","Other debts","All household-dwelling units",7867280,16288
"2018","Kustavi","Loans charged on business activities or a source of income","All household-dwelling units",1685509,3490
"2018","Kustavi","Study loans","All household-dwelling units",.,.
"2018","Laitila","Debts total","All household-dwelling units",203419503,49833
"2018","Laitila","Housing loans","All household-dwelling units",123641096,30289
"2018","Laitila","Other debts","All household-dwelling units",51335563,12576
"2018","Laitila","Loans charged on business activities or a source of income","All household-dwelling units",28442884,6968
"2018","Laitila","Study loans","All household-dwelling units",.,.
"2018","Pyhäranta","Debts total","All household-dwelling units",47838926,50093
"2018","Pyhäranta","Housing loans","All household-dwelling units",33036846,34594
"2018","Pyhäranta","Other debts","All household-dwelling units",12706612,13305
"2018","Pyhäranta","Loans charged on business activities or a source of income","All household-dwelling units",2095478,2194
"2018","Pyhäranta","Study loans","All household-dwelling units",.,.
"2018","Taivassalo","Debts total","All household-dwelling units",48005621,58830
"2018","Taivassalo","Housing loans","All household-dwelling units",27474071,33669
"2018","Taivassalo","Other debts","All household-dwelling units",14588851,17878
"2018","Taivassalo","Loans charged on business activities or a source of income","All household-dwelling units",5942717,7283
"2018","Taivassalo","Study loans","All household-dwelling units",.,.
"2018","Uusikaupunki","Debts total","All household-dwelling units",343670858,42889
"2018","Uusikaupunki","Housing loans","All household-dwelling units",225426443,28133
"2018","Uusikaupunki","Other debts","All household-dwelling units",97504093,12168
"2018","Uusikaupunki","Loans charged on business activities or a source of income","All household-dwelling units",20740356,2588
"2018","Uusikaupunki","Study loans","All household-dwelling units",.,.
"2018","Vehmaa","Debts total","All household-dwelling units",60757028,54296
"2018","Vehmaa","Housing loans","All household-dwelling units",32318222,28881
"2018","Vehmaa","Other debts","All household-dwelling units",22236612,19872
"2018","Vehmaa","Loans charged on business activities or a source of income","All household-dwelling units",6202191,5543
"2018","Vehmaa","Study loans","All household-dwelling units",.,.
"2018","Kemiönsaari","Debts total","All household-dwelling units",178831714,52831
