"Year","Municipality","Type of debt","Household-dwelling units","Debts (euros)","Debts, mean (euros)"
"2002","Raisio","Loans charged on business activities or a source of income","All household-dwelling units",22348267,2159
"2002","Raisio","Study loans","All household-dwelling units",5335777,515
"2002","Rusko","Debts total","All household-dwelling units",103529770,53642
"2002","Rusko","Housing loans","All household-dwelling units",68622925,35556
"2002","Rusko","Other debts","All household-dwelling units",17086077,8853
"2002","Rusko","Loans charged on business activities or a source of income","All household-dwelling units",17102854,8862
"2002","Rusko","Study loans","All household-dwelling units",717895,372
"2002","Sauvo","Debts total","All household-dwelling units",50966505,42793
"2002","Sauvo","Housing loans","All household-dwelling units",20710263,17389
"2002","Sauvo","Other debts","All household-dwelling units",22192096,18633
"2002","Sauvo","Loans charged on business activities or a source of income","All household-dwelling units",7611573,6391
"2002","Sauvo","Study loans","All household-dwelling units",452574,380
"2002","Turku","Debts total","All household-dwelling units",1898173349,20853
"2002","Turku","Housing loans","All household-dwelling units",1219975827,13402
"2002","Turku","Other debts","All household-dwelling units",410251730,4507
"2002","Turku","Loans charged on business activities or a source of income","All household-dwelling units",160343493,1761
"2002","Turku","Study loans","All household-dwelling units",107602690,1182
"2002","Kustavi","Debts total","All household-dwelling units",13115629,28762
"2002","Kustavi","Housing loans","All household-dwelling units",5128599,11247
"2002","Kustavi","Other debts","All household-dwelling units",6204438,13606
"2002","Kustavi","Loans charged on business activities or a source of income","All household-dwelling units",1676162,3676
"2002","Kustavi","Study loans","All household-dwelling units",106429,233
"2002","Laitila","Debts total","All household-dwelling units",125012784,32462
"2002","Laitila","Housing loans","All household-dwelling units",67434613,17511
"2002","Laitila","Other debts","All household-dwelling units",44076712,11446
"2002","Laitila","Loans charged on business activities or a source of income","All household-dwelling units",12175163,3162
"2002","Laitila","Study loans","All household-dwelling units",1326278,344
"2002","Pyhäranta","Debts total","All household-dwelling units",26903347,29243
"2002","Pyhäranta","Housing loans","All household-dwelling units",15613612,16971
"2002","Pyhäranta","Other debts","All household-dwelling units",6685900,7267
"2002","Pyhäranta","Loans charged on business activities or a source of income","All household-dwelling units",4409546,4793
"2002","Pyhäranta","Study loans","All household-dwelling units",194278,211
"2002","Taivassalo","Debts total","All household-dwelling units",28195208,36101
"2002","Taivassalo","Housing loans","All household-dwelling units",10951164,14022
"2002","Taivassalo","Other debts","All household-dwelling units",10379632,13290
"2002","Taivassalo","Loans charged on business activities or a source of income","All household-dwelling units",6713271,8596
"2002","Taivassalo","Study loans","All household-dwelling units",151167,194
"2002","Uusikaupunki","Debts total","All household-dwelling units",189209486,24465
"2002","Uusikaupunki","Housing loans","All household-dwelling units",118280534,15294
"2002","Uusikaupunki","Other debts","All household-dwelling units",54261764,7016
"2002","Uusikaupunki","Loans charged on business activities or a source of income","All household-dwelling units",13481287,1743
"2002","Uusikaupunki","Study loans","All household-dwelling units",3185935,412
"2002","Vehmaa","Debts total","All household-dwelling units",48420794,43741
"2002","Vehmaa","Housing loans","All household-dwelling units",16838299,15211
"2002","Vehmaa","Other debts","All household-dwelling units",19470422,17588
"2002","Vehmaa","Loans charged on business activities or a source of income","All household-dwelling units",11817068,10675
"2002","Vehmaa","Study loans","All household-dwelling units",295016,267
"2002","Kemiönsaari","Debts total","All household-dwelling units",91452690,26280
"2002","Kemiönsaari","Housing loans","All household-dwelling units",47998056,13793
"2002","Kemiönsaari","Other debts","All household-dwelling units",33485797,9622
"2002","Kemiönsaari","Loans charged on business activities or a source of income","All household-dwelling units",8541277,2454
"2002","Kemiönsaari","Study loans","All household-dwelling units",1427556,410
"2002","Parainen","Debts total","All household-dwelling units",217707873,32508
"2002","Parainen","Housing loans","All household-dwelling units",145386493,21709
"2002","Parainen","Other debts","All household-dwelling units",45010123,6721
"2002","Parainen","Loans charged on business activities or a source of income","All household-dwelling units",23586355,3522
"2002","Parainen","Study loans","All household-dwelling units",3724908,556
"2002","Forssa","Debts total","All household-dwelling units",201129757,22589
"2002","Forssa","Housing loans","All household-dwelling units",127450127,14314
"2002","Forssa","Other debts","All household-dwelling units",48446767,5441
"2002","Forssa","Loans charged on business activities or a source of income","All household-dwelling units",20700265,2325
"2002","Forssa","Study loans","All household-dwelling units",4532594,509
"2002","Humppila","Debts total","All household-dwelling units",37083588,32191
"2002","Humppila","Housing loans","All household-dwelling units",16243431,14100
"2002","Humppila","Other debts","All household-dwelling units",8411463,7302
"2002","Humppila","Loans charged on business activities or a source of income","All household-dwelling units",12075874,10483
"2002","Humppila","Study loans","All household-dwelling units",352832,306
"2002","Jokioinen","Debts total","All household-dwelling units",78630853,33546
"2002","Jokioinen","Housing loans","All household-dwelling units",43718004,18651
"2002","Jokioinen","Other debts","All household-dwelling units",18795115,8018
"2002","Jokioinen","Loans charged on business activities or a source of income","All household-dwelling units",14886690,6351
"2002","Jokioinen","Study loans","All household-dwelling units",1231063,525
"2002","Tammela","Debts total","All household-dwelling units",81929377,30963
"2002","Tammela","Housing loans","All household-dwelling units",44889162,16965
"2002","Tammela","Other debts","All household-dwelling units",18357451,6938
"2002","Tammela","Loans charged on business activities or a source of income","All household-dwelling units",17499256,6613
"2002","Tammela","Study loans","All household-dwelling units",1183538,447
"2002","Ypäjä","Debts total","All household-dwelling units",39314069,34486
"2002","Ypäjä","Housing loans","All household-dwelling units",13425832,11777
"2002","Ypäjä","Other debts","All household-dwelling units",9266893,8129
"2002","Ypäjä","Loans charged on business activities or a source of income","All household-dwelling units",16167374,14182
"2002","Ypäjä","Study loans","All household-dwelling units",453981,398
"2002","Hattula","Debts total","All household-dwelling units",135496318,35950
"2002","Hattula","Housing loans","All household-dwelling units",94336693,25030
"2002","Hattula","Other debts","All household-dwelling units",26473665,7024
"2002","Hattula","Loans charged on business activities or a source of income","All household-dwelling units",12636981,3353
"2002","Hattula","Study loans","All household-dwelling units",2048969,544
"2002","Hämeenlinna","Debts total","All household-dwelling units",841651943,28036
"2002","Hämeenlinna","Housing loans","All household-dwelling units",567470126,18903
"2002","Hämeenlinna","Other debts","All household-dwelling units",185029759,6164
"2002","Hämeenlinna","Loans charged on business activities or a source of income","All household-dwelling units",65605665,2185
"2002","Hämeenlinna","Study loans","All household-dwelling units",23546533,784
"2002","Janakkala","Debts total","All household-dwelling units",221685204,32477
"2002","Janakkala","Housing loans","All household-dwelling units",145408699,21302
"2002","Janakkala","Other debts","All household-dwelling units",45744722,6702
"2002","Janakkala","Loans charged on business activities or a source of income","All household-dwelling units",26897078,3940
"2002","Janakkala","Study loans","All household-dwelling units",3634723,532
"2002","Hausjärvi","Debts total","All household-dwelling units",160491541,46791
"2002","Hausjärvi","Housing loans","All household-dwelling units",83201628,24257
"2002","Hausjärvi","Other debts","All household-dwelling units",28025137,8171
"2002","Hausjärvi","Loans charged on business activities or a source of income","All household-dwelling units",47487768,13845
"2002","Hausjärvi","Study loans","All household-dwelling units",1777032,518
"2002","Loppi","Debts total","All household-dwelling units",109594170,34366
"2002","Loppi","Housing loans","All household-dwelling units",67945150,21306
"2002","Loppi","Other debts","All household-dwelling units",24134934,7568
"2002","Loppi","Loans charged on business activities or a source of income","All household-dwelling units",16129070,5058
"2002","Loppi","Study loans","All household-dwelling units",1385028,434
"2002","Riihimäki","Debts total","All household-dwelling units",314331035,25231
"2002","Riihimäki","Housing loans","All household-dwelling units",225936998,18136
"2002","Riihimäki","Other debts","All household-dwelling units",64179354,5152
"2002","Riihimäki","Loans charged on business activities or a source of income","All household-dwelling units",15778963,1267
"2002","Riihimäki","Study loans","All household-dwelling units",8435790,677
"2002","Asikkala","Debts total","All household-dwelling units",108917942,28490
"2002","Asikkala","Housing loans","All household-dwelling units",64524907,16878
"2002","Asikkala","Other debts","All household-dwelling units",24833582,6496
"2002","Asikkala","Loans charged on business activities or a source of income","All household-dwelling units",17944108,4694
"2002","Asikkala","Study loans","All household-dwelling units",1615415,423
"2002","Hartola","Debts total","All household-dwelling units",41454906,23594
"2002","Hartola","Housing loans","All household-dwelling units",16217309,9230
"2002","Hartola","Other debts","All household-dwelling units",8526271,4853
"2002","Hartola","Loans charged on business activities or a source of income","All household-dwelling units",16086658,9156
"2002","Hartola","Study loans","All household-dwelling units",624682,356
"2002","Heinola","Debts total","All household-dwelling units",211988502,21045
"2002","Heinola","Housing loans","All household-dwelling units",133952805,13298
"2002","Heinola","Other debts","All household-dwelling units",53576393,5319
"2002","Heinola","Loans charged on business activities or a source of income","All household-dwelling units",19798701,1966
"2002","Heinola","Study loans","All household-dwelling units",4660619,463
"2002","Hollola","Debts total","All household-dwelling units",326836187,34644
"2002","Hollola","Housing loans","All household-dwelling units",226018598,23958
"2002","Hollola","Other debts","All household-dwelling units",56585095,5998
"2002","Hollola","Loans charged on business activities or a source of income","All household-dwelling units",38553248,4087
"2002","Hollola","Study loans","All household-dwelling units",5679336,602
"2002","Kärkölä","Debts total","All household-dwelling units",61833716,29167
"2002","Kärkölä","Housing loans","All household-dwelling units",34338169,16197
"2002","Kärkölä","Other debts","All household-dwelling units",13146061,6201
"2002","Kärkölä","Loans charged on business activities or a source of income","All household-dwelling units",13552587,6393
"2002","Kärkölä","Study loans","All household-dwelling units",796891,376
"2002","Lahti","Debts total","All household-dwelling units",1308607860,23562
"2002","Lahti","Housing loans","All household-dwelling units",915262859,16480
"2002","Lahti","Other debts","All household-dwelling units",267184922,4811
"2002","Lahti","Loans charged on business activities or a source of income","All household-dwelling units",79062864,1424
"2002","Lahti","Study loans","All household-dwelling units",47097249,848
"2002","Orimattila","Debts total","All household-dwelling units",201155147,28893
"2002","Orimattila","Housing loans","All household-dwelling units",118097069,16963
"2002","Orimattila","Other debts","All household-dwelling units",41236569,5923
"2002","Orimattila","Loans charged on business activities or a source of income","All household-dwelling units",38688198,5557
"2002","Orimattila","Study loans","All household-dwelling units",3133325,450
"2002","Padasjoki","Debts total","All household-dwelling units",41315091,24104
"2002","Padasjoki","Housing loans","All household-dwelling units",19701113,11494
"2002","Padasjoki","Other debts","All household-dwelling units",10901483,6360
"2002","Padasjoki","Loans charged on business activities or a source of income","All household-dwelling units",10146700,5920
"2002","Padasjoki","Study loans","All household-dwelling units",565798,330
"2002","Sysmä","Debts total","All household-dwelling units",58059707,25862
"2002","Sysmä","Housing loans","All household-dwelling units",20840294,9283
"2002","Sysmä","Other debts","All household-dwelling units",9501253,4232
"2002","Sysmä","Loans charged on business activities or a source of income","All household-dwelling units",27136850,12088
"2002","Sysmä","Study loans","All household-dwelling units",581336,259
"2002","Hamina","Debts total","All household-dwelling units",244400337,24588
"2002","Hamina","Housing loans","All household-dwelling units",161440310,16241
"2002","Hamina","Other debts","All household-dwelling units",58524512,5888
"2002","Hamina","Loans charged on business activities or a source of income","All household-dwelling units",20055400,2018
"2002","Hamina","Study loans","All household-dwelling units",4380124,441
"2002","Kotka","Debts total","All household-dwelling units",583571777,21642
"2002","Kotka","Housing loans","All household-dwelling units",390244711,14472
"2002","Kotka","Other debts","All household-dwelling units",142957609,5302
"2002","Kotka","Loans charged on business activities or a source of income","All household-dwelling units",32070953,1189
"2002","Kotka","Study loans","All household-dwelling units",18298548,679
"2002","Miehikkälä","Debts total","All household-dwelling units",24479776,22315
"2002","Miehikkälä","Housing loans","All household-dwelling units",9025482,8227
"2002","Miehikkälä","Other debts","All household-dwelling units",9167746,8357
"2002","Miehikkälä","Loans charged on business activities or a source of income","All household-dwelling units",5978518,5450
"2002","Miehikkälä","Study loans","All household-dwelling units",308028,281
"2002","Pyhtää","Debts total","All household-dwelling units",62777108,27976
"2002","Pyhtää","Housing loans","All household-dwelling units",37748120,16822
"2002","Pyhtää","Other debts","All household-dwelling units",15703653,6998
"2002","Pyhtää","Loans charged on business activities or a source of income","All household-dwelling units",8445122,3763
"2002","Pyhtää","Study loans","All household-dwelling units",880214,392
"2002","Virolahti","Debts total","All household-dwelling units",35296032,20985
"2002","Virolahti","Housing loans","All household-dwelling units",17855705,10616
"2002","Virolahti","Other debts","All household-dwelling units",11095805,6597
"2002","Virolahti","Loans charged on business activities or a source of income","All household-dwelling units",5802567,3450
