Municipality,Year,Admissions to involuntary care / 1 000 residents,Alcohol mortality per 100 000 inhabitants,Compulsory treatment in psychiatric inpatient care per population,"Entitled to special refunds on medicines for psychosis, as % of total population","Hospital care for mental disorders, recipients aged 0-24, combined",Mental health visits in primary health care per 1000 inhabitants,Outpatient visits in specialities of psychiatry per 1000 inhabitants,"Psychiatric inpatient care, patients per 1000 inhabitants","Psychiatric rehabilitation homes, clients on 31 Dec per population","Recipients of a disability pension due to mental and behavioural disorders aged 16-64, combined","Rehabilitative psychotherapy, recipients aged 16-64, combined","Reimbursements for depression medicines, recipients all ages, combined","Sickness allowance for mental health reasons, recipients aged 18-64, combined",Suicides per 100 000 inhabitants
Taipalsaari,2003,0.7476081375962405,0.32786247724410633,-0.05503983841859297,-1.1079034457137642,-0.3813021007658536,-0.865281227942921,-0.6690570333190647,-0.4476909617178564,-0.0038626502854099943,-0.9260693337021177,-0.7542242502141202,-1.449441001214893,-0.7526783905537329,0.5360399697656743
Taipalsaari,2004,0.8990686337465388,2.1850284963793576,-0.1352515275426285,-1.1079034457137642,-0.3813021007658536,-0.2812450878654915,-0.5910334330566067,-0.4967993486543007,-0.013086536441896281,-0.7658545423866796,-0.7731192424776124,-1.4049726618084777,-0.7526783905537329,1.5439690812723281
Taipalsaari,2005,0.5961476414459421,1.5627821497618763,0.08228560312495438,-0.9596415689078179,-0.3813021007658536,-0.2645583410061364,-0.6701637510532841,-0.8896664441458545,-0.02407417284199245,-0.8192594728251588,-0.7731192424776124,-1.215143679281231,-0.5476557797293558,1.1743950737198885
Taipalsaari,2006,0.7476081375962405,1.2085803832257713,0.043589542785763845,-0.9596415689078179,-0.3813021007658536,-0.30210352143968544,-0.604314045867238,-1.0369916049551873,-0.038165642198823915,-0.7124496119482002,-0.5463793353157074,-0.9123721042469626,-0.042525467108060086,0.31765532893923315
Taipalsaari,2007,0.14176615299504713,2.1563094342277815,0.18071400908539903,-0.9596415689078179,-0.3813021007658536,-0.310446894869363,-0.45103363967786986,-0.4476909617178564,-0.03858043613307095,-0.6590446815097207,-0.48969435852523113,-0.5599387138679832,0.4647266210674204,-0.42149268616564667
Taipalsaari,2008,0.5961476414459421,3.0944654645125986,0.09722019645172111,-0.9596415689078179,-0.610921771131577,-0.14775111299065044,-0.5561718244287,-0.6932328964000777,-0.028109294996857163,-0.7658545423866796,-0.41411438947126267,-0.5765730858913481,-0.7481175361497561,0.5864364253410072
Taipalsaari,2009,0.2932266491453456,3.113611505946983,0.6701708372783474,-0.9596415689078179,-0.610921771131577,-0.18112460670936073,-0.5528516712260421,-0.595016122527189,-0.022579641315988642,-0.7658545423866796,-0.7542242502141202,-0.3676795829909083,-1.0147491437156475,-0.15271158976387209
Taipalsaari,2010,0.14176615299504713,1.6202202740650287,0.9598831349167204,-0.9596415689078179,-0.610921771131577,-0.01008545140097065,-0.533484110877205,-0.20214902703563523,-0.027474246192945678,-0.8192594728251588,-0.7542242502141202,-0.08205525317644446,-0.9652434743229952,-0.0183210415629848
Taipalsaari,2011,0.14176615299504713,1.19900736250858,0.6164198800859285,-0.9596415689078179,-0.4141049108180998,0.07334828289580499,-0.5102430384586005,-0.7914496702729662,-0.015475944095066276,-0.8192594728251588,-0.3196394281538022,-0.3914228504858801,-0.9642213393809828,0.7376257920670055
Taipalsaari,2012,-0.16115483930554933,2.1467364135105895,0.3120096070972707,-0.9596415689078179,-0.4141049108180998,-0.05597400526419725,-0.3591760677376711,-0.6932328964000777,-0.012214968135649798,-0.9260693337021177,-0.4519043739982469,-0.08336499124237645,-0.42396547161040077,-0.13591277123876158
