kunta_nimi,vuosi,Elatustuki,Eläke-etuudet (pl. takuueläke),Eläketuki,Eläkkeensaajan asumistuki,Erityishoitoraha,Koulumatkatuki,Kuntoutus,Kuntoutusraha,Lapsilisä,Lastenhoidon tuet,Maahanmuuttajan erityistuki,Opintolainahyvitys,Opintolainan korkoavustus,Opintolainavähennys,"Opintotuki (opintoraha, asumislisä, lainatakaus)",Perhevapaakorvaus,Perustoimeentulotuki,Sairaanhoitokorvaukset,Sairauspäivärahat,Sotilasavustus,Takuueläke,Työttömyysturva,Vammaisetuudet,Vanhempainpäiväraha,Vuosilomakustannuskorvaus,Väliaikainen sähkötuki,Yleinen asumistuki,Äitiysavustus
Alavieska,2011,0.0,0.0,0.0,0.0,5.0,149.0,42.0,26.0,304.0,79.0,0.0,6.0,4.0,5.0,146.0,4.0,104.875,1922.0,153.0,4.0,0.0,112.0,0.0,88.0,9.0,4.0,0.0,28.0
Alavieska,2012,0.0,0.0,0.0,0.0,8.0,147.0,52.0,26.0,296.0,83.0,0.0,6.0,4.0,5.0,144.0,4.0,104.875,1948.0,174.0,4.0,0.0,122.0,0.0,94.0,13.0,4.0,0.0,38.0
Alavieska,2013,0.0,0.0,0.0,0.0,7.0,148.0,51.0,24.0,294.0,70.0,0.0,6.0,4.0,5.0,140.0,4.0,104.875,1928.0,144.0,4.0,0.0,128.0,0.0,94.0,9.0,4.0,0.0,31.0
Alavieska,2014,0.0,0.0,0.0,0.0,11.0,144.0,53.0,20.0,287.0,69.0,0.0,6.0,4.0,5.0,137.0,4.0,104.875,1819.0,140.0,4.0,0.0,125.0,0.0,94.0,10.0,4.0,0.0,40.0
Alavieska,2015,0.0,0.0,0.0,0.0,7.0,123.0,52.0,25.0,294.0,73.0,0.0,6.0,4.0,5.0,126.0,4.0,104.875,1850.0,151.0,4.0,0.0,123.0,0.0,108.0,16.0,4.0,0.0,33.0
Alavieska,2016,0.0,0.0,0.0,0.0,6.0,115.0,54.0,26.0,286.0,77.0,0.0,6.0,4.0,5.0,118.0,4.0,104.875,1649.0,154.0,4.0,0.0,116.0,0.0,73.0,11.0,4.0,0.0,21.0
Alavieska,2017,0.0,0.0,0.0,0.0,10.0,133.0,51.0,14.0,277.0,58.0,0.0,6.0,4.0,5.0,104.0,4.0,0.0,1577.0,126.0,4.0,0.0,110.0,0.0,61.0,8.0,4.0,0.0,23.0
Alavieska,2018,23.923076923076923,441.6923076923077,0.0,105.3076923076923,10.0,54.333333333333336,23.384615384615383,6.222222222222222,261.38461538461536,28.0,0.0,4.0,4.0,5.0,55.76923076923077,5.0,21.615384615384617,777.4615384615385,30.923076923076923,4.0,70.84615384615384,59.30769230769231,195.07692307692307,30.692307692307693,7.0,4.0,60.30769230769231,10.25
Alavieska,2019,18.923076923076923,431.0,0.0,100.76923076923077,10.0,56.416666666666664,24.615384615384617,6.0,248.3846153846154,30.846153846153847,0.0,4.0,4.0,5.0,50.53846153846154,9.0,22.615384615384617,771.7692307692307,39.76923076923077,4.0,68.61538461538461,51.30769230769231,191.84615384615384,25.692307692307693,11.0,4.0,56.38461538461539,21.0
Alavieska,2020,22.615384615384617,453.38461538461536,0.0,91.76923076923077,10.0,48.27272727272727,27.615384615384617,5.777777777777778,249.07692307692307,30.307692307692307,0.0,4.0,4.0,5.0,51.38461538461539,5.0,26.692307692307693,761.3846153846154,31.53846153846154,4.0,76.15384615384616,57.46153846153846,200.3846153846154,22.076923076923077,6.0,4.0,55.84615384615385,13.0
Alavieska,2021,23.615384615384617,438.9230769230769,0.0,87.0,10.0,41.833333333333336,34.92307692307692,7.454545454545454,241.76923076923077,26.153846153846153,0.0,4.0,4.0,5.0,43.38461538461539,8.0,19.923076923076923,769.6923076923077,41.38461538461539,4.0,77.07692307692308,54.30769230769231,200.46153846153845,23.923076923076923,12.0,4.0,53.38461538461539,15.0
Alavieska,2022,21.615384615384617,422.61538461538464,0.0,86.76923076923077,4.0,51.09090909090909,42.69230769230769,11.153846153846153,240.3846153846154,24.46153846153846,0.0,4.0,4.0,5.0,37.76923076923077,8.0,21.153846153846153,780.1538461538462,60.92307692307692,4.0,70.46153846153847,52.15384615384615,188.92307692307693,20.0,7.0,4.0,49.07692307692308,11.0
Alavieska,2023,20.615384615384617,413.53846153846155,0.0,78.07692307692308,8.0,54.666666666666664,42.23076923076923,8.692307692307692,241.84615384615384,20.0,0.0,4.0,4.0,5.0,42.0,11.0,24.46153846153846,796.1538461538462,42.69230769230769,4.0,63.38461538461539,54.53846153846154,178.92307692307693,25.384615384615383,5.0,4.0,57.30769230769231,12.5
Alavieska,2024,21.875,396.125,0.0,73.125,8.0,47.857142857142854,31.75,7.0,236.875,22.375,0.0,4.0,4.0,5.0,37.142857142857146,11.0,29.625,696.0,32.75,4.0,60.5,47.625,167.375,24.125,5.0,4.0,73.375,4.0
Alavus,2008,21.875,0.0,0.0,0.0,16.0,255.0,165.0,131.0,970.0,258.0,0.0,4.0,8.0,5.0,536.0,11.0,29.625,7048.0,558.0,17.0,60.5,336.0,0.0,251.0,35.0,4.0,0.0,100.0
Alavus,2009,0.0,0.0,0.0,0.0,13.0,243.0,143.0,112.0,968.0,248.0,0.0,4.0,8.0,5.0,496.0,11.0,29.625,7045.0,526.0,13.0,60.5,375.0,0.0,267.0,47.0,4.0,0.0,102.0
Alavus,2010,0.0,0.0,0.0,0.0,9.0,248.0,138.0,93.0,949.0,240.0,0.0,4.0,6.0,5.0,469.0,11.0,29.625,7085.0,574.0,14.0,60.5,382.0,0.0,254.0,42.0,4.0,0.0,84.0
Alavus,2011,0.0,0.0,0.0,0.0,16.0,233.0,129.0,78.0,930.0,223.0,0.0,4.0,4.0,7.0,453.0,11.0,29.625,7025.0,579.0,17.0,0.0,363.0,0.0,247.0,38.0,4.0,0.0,107.0
Alavus,2012,0.0,0.0,0.0,0.0,9.0,240.0,135.0,85.0,928.0,223.0,0.0,4.0,4.0,4.0,442.0,11.0,29.625,6979.0,542.0,14.0,0.0,366.0,0.0,260.0,43.0,4.0,0.0,85.0
Alavus,2013,0.0,0.0,0.0,0.0,17.0,332.0,206.0,124.0,1263.0,304.0,0.0,4.0,4.0,5.0,570.0,11.0,29.625,9058.0,773.0,17.0,0.0,544.0,0.0,334.0,58.0,4.0,0.0,117.0
Alavus,2014,0.0,0.0,0.0,0.0,15.0,351.0,207.0,124.0,1232.0,302.0,0.0,4.0,4.0,4.0,567.0,11.0,29.625,8882.0,699.0,21.0,0.0,515.0,0.0,340.0,49.0,4.0,0.0,130.0
Alavus,2015,0.0,0.0,0.0,0.0,13.0,333.0,190.0,88.0,1224.0,292.0,0.0,4.0,4.0,7.0,543.0,11.0,29.625,8840.0,693.0,20.0,0.0,553.0,0.0,367.0,61.0,4.0,0.0,110.0
Alavus,2016,0.0,0.0,0.0,0.0,14.0,351.0,195.0,102.0,1187.0,288.0,0.0,4.0,4.0,6.0,540.0,11.0,29.625,7988.0,610.0,6.0,0.0,569.0,0.0,300.0,42.0,4.0,0.0,120.0
Alavus,2017,0.0,0.0,0.0,0.0,14.0,345.0,171.0,69.0,1132.0,269.0,0.0,4.0,4.0,11.0,475.0,11.0,0.0,7638.0,635.0,12.0,0.0,561.0,0.0,323.0,49.0,4.0,0.0,96.0
Alavus,2018,129.69230769230768,2151.3846153846152,4.583333333333333,479.53846153846155,9.0,153.33333333333334,96.84615384615384,30.53846153846154,1066.6153846153845,160.23076923076923,0.0,8.5,4.0,11.0,266.53846153846155,15.0,160.53846153846155,3795.846153846154,162.92307692307693,5.75,275.46153846153845,322.0,739.0,105.23076923076923,10.714285714285714,4.0,327.61538461538464,16.818181818181817
Alavus,2019,144.53846153846155,2091.769230769231,5.461538461538462,490.2307692307692,7.666666666666667,128.83333333333334,102.92307692307692,42.46153846153846,1038.3846153846155,141.46153846153845,0.0,6.5,4.0,11.0,262.0769230769231,21.0,150.0,3811.3846153846152,155.3846153846154,5.3,283.6923076923077,300.2307692307692,723.1538461538462,104.92307692307692,13.333333333333334,4.0,312.0769230769231,14.923076923076923
Alavus,2020,171.0,2244.230769230769,9.0,501.46153846153845,12.0,121.45454545454545,105.15384615384616,44.07692307692308,1026.5384615384614,133.53846153846155,0.0,6.5,4.0,11.0,260.46153846153845,11.0,176.07692307692307,3675.3846153846152,155.76923076923077,5.583333333333333,346.46153846153845,348.2307692307692,794.9230769230769,116.0,17.5,4.0,312.0,18.5
Alavus,2021,174.15384615384616,2209.0,7.076923076923077,478.53846153846155,6.5,111.23076923076923,105.3076923076923,35.76923076923077,1012.5384615384615,126.76923076923077,0.0,6.333333333333333,4.0,11.0,260.7692307692308,11.0,155.76923076923077,3675.4615384615386,186.23076923076923,5.0,347.38461538461536,301.61538461538464,788.1538461538462,109.0,11.625,4.0,311.7692307692308,16.2
