Municipality,Year,"Entitled to special refunds on medicines for psychosis, as % of total population","Hospital care for mental disorders, recipients aged 0-17 per 1000 persons of the same age","Hospital care for mental disorders, recipients aged 18-24 per 1000 persons of the same age",Mental health outpatient visits of adults per 1000 persons aged 18 and over,Mental health visits in primary health care per 1000 inhabitants,Outpatient visits in specialities of psychiatry per 1000 inhabitants,"Psychiatric inpatient care, care days per 1000 inhabitants","Psychiatric inpatient care, patients per 1000 inhabitants","Psychiatric inpatient care, periods of care per 1000 inhabitants","Psychiatric rehabilitation homes, clients on 31 Dec (24-hour assistance) per 10000 inhabitants","Psychiatric rehabilitation homes, clients on 31 Dec (part-time assistance) per 10000 inhabitants","Rahabilitative psychotherapy, recipients aged 16-24 per 1000 persons of same age","Recipients of a disability pension due to mental and behavioural disorders aged 16-24, % of total population of the same age ","Recipients of a disability pension due to mental and behavioural disorders aged 25-64, as % of total population of the same age ","Rehabilitative psychotherapy, recipients aged 25-64 per 1000 persons of same age","Reimbursement for depression medicines in those aged 65 and over, as % of total population of same age","Reimbursements for depression medicines, recipients aged 0-17, as % of total population of the same age","Reimbursements for depression medicines, recipients aged 18-64 per 1000 persons of same age","Sickness allowance for mental health reasons, recipients aged 25-64 per 1000 persons of same age"
Savukoski,2015,2.1,0.0,0.0,234.4,161.0,71.6,224.3,5.7,10.4,0.0,0.0,0.0,0.0,4.5,0.0,9.9,0.0,62.4,10.8
Savukoski,2016,2.1,0.0,0.0,178.5,148.0,30.7,221.3,4.8,15.3,0.0,0.0,0.0,0.0,4.3,0.0,9.0,0.0,58.3,16.6
Savukoski,2017,2.2,0.0,0.0,228.1,165.0,62.3,155.1,5.9,11.9,0.0,0.0,0.0,0.0,3.8,0.0,7.8,0.0,55.4,22.9
Savukoski,2018,2.3,0.0,0.0,201.6,142.0,81.8,126.1,6.9,10.8,0.0,0.0,0.0,0.0,3.3,0.0,8.3,0.0,63.9,17.6
Savukoski,2019,2.2,0.0,0.0,320.4,246.0,82.6,137.3,5.1,10.9,0.0,0.0,0.0,0.0,3.2,0.0,8.6,0.0,70.4,27.8
Savukoski,2020,2.3,0.0,0.0,378.4,317.0,48.6,54.5,5.1,6.9,0.0,0.0,0.0,0.0,3.0,0.0,9.9,0.0,58.5,17.7
Savukoski,2021,1.9,0.0,0.0,444.9,380.0,51.5,125.9,5.1,8.9,0.0,0.0,0.0,0.0,2.6,0.0,10.4,0.0,73.4,29.9
Savukoski,2022,1.8,0.0,0.0,412.7,350.0,59.7,88.1,5.1,8.9,0.0,0.0,0.0,0.0,2.8,0.0,9.5,0.0,66.0,23.8
Savukoski,2023,1.5,0.0,0.0,380.8,318.0,59.7,88.1,5.1,8.9,0.0,0.0,0.0,0.0,2.8,0.0,10.1,0.0,88.8,24.0
Seinäjoki,2000,1.6,3.2,8.4,294.4,0.0,273.1,412.6,6.8,11.3,6.0,8.0,1.2,0.4,4.1,2.8,10.2,0.3,64.9,24.1
Seinäjoki,2001,1.6,3.2,11.4,342.1,214.0,100.6,399.4,7.0,11.6,6.0,8.0,0.9,0.4,4.0,2.6,9.8,0.4,67.0,24.1
Seinäjoki,2002,1.6,3.1,8.5,346.4,205.0,111.3,372.4,6.9,10.9,6.0,8.0,2.5,0.4,4.0,2.7,10.0,0.3,71.6,24.1
Seinäjoki,2003,1.7,2.4,8.6,304.6,182.0,112.5,406.0,7.5,11.9,6.0,8.0,3.8,0.4,4.2,2.6,9.8,0.4,72.7,24.1
Seinäjoki,2004,1.7,3.2,8.0,326.2,205.0,108.6,412.8,7.3,11.5,6.0,8.0,3.9,0.3,4.2,2.1,10.3,0.4,77.3,24.1
Seinäjoki,2005,1.8,3.4,9.0,336.2,212.0,136.8,401.7,6.8,10.3,6.0,8.0,3.0,0.4,4.2,2.3,10.5,0.4,82.9,25.5
Seinäjoki,2006,1.8,3.6,6.5,305.6,190.0,122.1,373.2,6.2,8.8,6.0,8.0,5.8,0.4,4.1,3.1,10.5,0.3,89.2,27.0
Seinäjoki,2007,1.8,4.2,5.4,299.2,0.0,314.5,366.1,6.6,9.0,6.0,7.0,3.5,0.6,4.1,4.1,11.1,0.5,94.5,28.7
Seinäjoki,2008,1.8,3.7,5.5,329.2,0.0,345.9,333.5,6.3,8.7,7.0,8.0,3.6,0.7,3.9,4.8,10.8,0.5,95.3,25.5
Seinäjoki,2009,1.8,3.9,8.0,334.3,0.0,364.7,323.1,5.7,7.8,8.0,8.0,6.0,0.8,3.9,5.9,11.3,0.6,97.4,23.7
Seinäjoki,2010,1.8,2.7,7.7,354.2,0.0,376.1,256.1,5.2,7.9,7.0,8.0,6.1,0.7,3.9,6.1,12.0,0.4,97.8,21.7
Seinäjoki,2011,1.8,2.5,6.4,396.4,4.0,414.7,198.8,4.9,7.4,6.0,9.0,7.1,0.7,3.7,6.6,12.0,0.5,97.0,25.2
Seinäjoki,2012,1.8,2.9,8.4,406.6,3.0,428.3,190.6,4.7,7.1,7.0,9.0,7.5,0.8,3.7,7.5,11.9,0.5,96.2,22.9
Seinäjoki,2013,1.8,3.1,7.9,486.4,72.0,459.7,198.2,4.8,7.2,7.0,7.0,5.8,0.9,3.7,7.2,12.4,0.5,90.7,21.0
Seinäjoki,2014,1.8,2.8,9.9,565.8,128.0,500.7,212.1,5.3,8.1,9.0,6.0,7.8,0.9,3.6,8.7,13.0,0.6,89.2,20.9
Seinäjoki,2015,1.8,3.7,11.4,542.6,115.0,507.9,225.6,5.3,8.0,8.0,7.0,9.4,1.0,3.6,9.4,13.8,0.6,88.1,22.9
Seinäjoki,2016,1.8,3.7,10.2,503.7,125.0,475.9,218.7,5.2,7.3,9.0,6.0,10.0,0.9,3.4,10.9,13.7,0.6,77.1,23.4
Seinäjoki,2017,1.8,3.8,10.5,496.6,86.0,484.5,234.0,5.1,7.5,9.0,6.0,8.8,0.9,3.4,12.4,13.8,0.7,80.4,27.8
Seinäjoki,2018,1.8,3.1,15.2,534.5,81.0,513.4,234.7,5.5,8.3,7.0,7.0,10.0,1.0,3.5,14.7,13.8,0.8,82.3,31.5
Seinäjoki,2019,1.9,3.6,16.0,549.9,97.0,534.5,204.8,5.6,8.6,8.0,6.0,9.7,1.2,3.5,16.8,14.1,1.0,89.4,37.4
Seinäjoki,2020,1.8,4.1,13.4,433.8,77.0,571.2,193.0,4.9,7.4,9.0,7.0,12.7,1.3,3.4,19.5,14.5,0.9,91.6,35.4
Seinäjoki,2021,1.8,4.2,15.0,425.4,66.0,585.5,203.3,4.9,7.7,7.0,7.0,14.0,1.2,3.4,21.7,14.3,1.1,97.5,39.7
Seinäjoki,2022,1.7,3.6,11.6,398.1,55.0,529.5,162.7,4.9,7.7,9.0,7.0,16.0,1.2,3.4,23.2,14.3,1.4,103.0,42.0
Seinäjoki,2023,1.7,3.9,11.0,538.8,182.0,529.5,162.7,5.9,7.7,8.0,8.0,17.2,1.3,3.4,23.4,14.5,1.4,101.5,43.2
Sievi,2000,1.9,5.4,13.5,804.7,521.0,23.7,335.1,8.2,14.6,9.0,27.0,0.0,1.3,5.3,2.2,9.6,0.2,57.3,23.4
Sievi,2001,1.9,4.8,13.8,720.5,467.0,20.2,349.6,8.4,16.1,9.0,27.0,0.0,1.8,5.6,2.2,8.2,0.2,49.5,23.4
Sievi,2002,2.0,3.5,10.1,744.0,451.0,51.1,473.2,7.3,15.0,9.0,27.0,0.0,1.6,5.8,2.2,7.7,0.2,56.7,23.4
Sievi,2003,2.1,4.7,14.9,707.9,456.0,25.2,475.5,7.7,15.0,9.0,27.0,0.0,1.9,5.7,2.2,7.5,0.2,53.8,23.4
Sievi,2004,2.2,5.2,14.9,771.4,502.0,19.8,361.2,6.9,12.5,9.0,27.0,0.0,1.8,5.9,2.2,8.4,0.2,62.9,23.4
Sievi,2005,2.2,5.3,14.9,753.4,486.0,27.7,423.0,7.5,12.1,9.0,27.0,0.0,1.7,5.9,2.2,8.3,0.2,62.0,19.5
Sievi,2006,2.2,3.5,12.9,677.9,429.0,30.5,363.7,6.5,12.1,9.0,27.0,0.0,2.2,5.8,2.2,10.1,0.2,69.3,23.7
Sievi,2007,2.2,4.6,12.6,638.2,423.0,12.2,316.1,6.3,10.8,9.0,30.0,0.0,2.1,6.4,2.2,10.3,0.2,72.9,21.7
Sievi,2008,2.2,4.6,10.6,403.9,263.0,11.3,345.8,6.2,11.1,9.0,24.0,0.0,1.7,6.4,2.2,10.2,0.2,78.0,23.1
Sievi,2009,2.2,4.6,12.7,417.5,264.0,29.2,237.2,4.5,8.5,9.0,25.0,0.0,1.2,5.9,2.2,10.5,0.3,76.6,21.1
Sievi,2010,2.3,4.0,12.7,414.0,263.0,28.6,272.1,7.2,10.5,28.0,23.0,8.5,1.5,6.0,3.9,10.5,0.3,80.1,20.7
Sievi,2011,2.4,2.9,12.7,487.2,320.0,41.2,205.5,6.2,8.1,28.0,19.0,8.5,1.9,6.3,4.3,11.5,0.2,82.6,17.6
Sievi,2012,2.4,2.9,12.7,506.6,345.0,36.6,215.8,5.5,6.3,19.0,19.0,8.5,2.0,6.3,4.3,12.2,0.3,80.7,19.9
Sievi,2013,2.3,3.6,12.7,390.5,245.0,53.7,206.2,5.4,7.7,21.0,19.0,8.5,2.3,6.3,4.9,11.4,0.3,81.0,20.0
Sievi,2014,2.3,3.6,12.7,475.4,319.0,54.3,432.7,8.0,11.3,14.0,17.0,8.5,2.9,6.0,4.1,11.3,0.3,89.0,23.0
Sievi,2015,2.3,3.0,35.2,524.8,351.0,58.0,420.4,7.6,12.5,10.0,18.0,8.5,2.7,6.3,3.7,11.2,0.3,93.0,21.0
Sievi,2016,2.3,3.2,14.5,535.9,370.0,59.8,313.7,6.7,12.4,12.0,14.0,8.5,2.7,6.5,4.6,10.8,0.3,85.8,25.5
Sievi,2017,2.3,3.2,17.6,589.9,407.0,62.6,108.8,3.2,4.6,10.0,14.0,8.5,2.7,6.5,4.7,10.7,0.4,83.8,26.3
Sievi,2018,2.3,3.2,17.6,579.2,355.0,147.2,199.4,4.6,8.0,10.0,14.0,8.5,3.0,6.3,7.6,10.7,0.7,78.6,26.0
Sievi,2019,2.5,7.1,17.6,1327.3,937.0,97.8,169.2,5.7,9.4,10.0,14.0,8.5,2.7,6.6,9.1,11.4,0.7,84.1,31.3
Sievi,2020,2.2,6.1,17.6,1383.3,1010.0,64.1,114.0,5.4,7.2,10.0,14.0,8.5,1.9,6.4,10.4,10.9,0.6,82.3,29.1
Sievi,2021,2.0,4.9,17.6,996.7,807.0,100.8,227.1,5.4,8.4,10.0,14.0,8.5,2.1,6.4,8.8,11.4,0.8,85.7,39.7
Sievi,2022,2.0,5.7,17.6,776.2,661.0,116.4,161.1,4.4,8.4,13.0,14.0,8.5,1.4,6.1,9.3,11.8,0.8,96.9,40.7
Sievi,2023,1.9,5.7,17.6,713.5,599.0,116.4,161.1,3.6,8.4,11.0,14.0,8.5,1.7,5.9,11.3,12.5,0.9,89.9,29.9
Siikainen,2000,2.3,0.0,0.0,107.9,0.0,107.3,122.2,5.1,6.7,0.0,0.0,0.0,0.0,3.9,7.7,9.5,0.0,59.1,18.9
Siikainen,2001,2.2,0.0,0.0,128.8,2.0,105.0,128.8,4.2,4.2,0.0,0.0,0.0,0.0,3.8,7.7,7.1,0.0,51.8,18.9
Siikainen,2002,2.2,0.0,0.0,147.9,0.0,120.3,173.6,4.3,3.2,0.0,0.0,0.0,0.0,3.8,7.7,7.3,0.0,62.3,18.9
Siikainen,2003,2.3,0.0,0.0,273.8,116.0,119.0,117.9,4.3,2.7,0.0,0.0,0.0,0.0,4.4,7.7,7.9,0.0,59.9,18.9
Siikainen,2004,2.4,0.0,0.0,263.4,105.0,118.9,316.6,8.8,12.1,0.0,0.0,0.0,0.0,4.3,7.7,8.1,0.0,64.2,18.9
Siikainen,2005,2.3,0.0,0.0,298.4,88.0,203.9,211.1,5.6,7.2,0.0,0.0,0.0,0.0,4.2,7.7,10.8,0.0,64.6,16.0
Siikainen,2006,2.3,0.0,0.0,287.9,84.0,185.6,273.1,5.0,6.1,0.0,0.0,0.0,0.0,4.2,7.7,9.0,0.0,71.8,11.9
Siikainen,2007,2.5,0.0,0.0,310.8,117.0,193.8,450.1,6.9,7.5,0.0,0.0,0.0,0.0,4.2,7.7,9.7,0.0,77.6,14.6
Siikainen,2008,2.4,0.0,0.0,353.1,153.0,198.0,400.7,6.0,7.8,0.0,0.0,0.0,0.0,4.7,7.7,12.1,0.0,75.1,21.0
Siikainen,2009,2.5,0.0,0.0,195.0,32.0,209.4,345.2,5.9,8.3,0.0,0.0,0.0,0.0,4.9,7.7,11.9,0.0,72.6,10.6
Siikainen,2010,2.5,0.0,0.0,239.9,47.0,231.6,287.8,6.0,6.0,0.0,0.0,0.0,0.0,5.2,7.7,12.0,0.0,75.6,10.9
Siikainen,2011,2.4,0.0,0.0,171.3,42.0,195.1,197.5,5.4,6.6,0.0,0.0,0.0,0.0,5.2,7.7,12.4,0.0,74.7,10.9
Siikainen,2012,2.2,0.0,0.0,217.7,47.0,179.8,95.7,3.7,5.5,0.0,0.0,0.0,0.0,5.4,7.7,13.0,0.0,82.2,11.3
Siikainen,2013,2.2,0.0,0.0,230.3,40.0,201.6,216.9,3.1,6.1,0.0,0.0,0.0,0.0,6.0,7.7,11.2,0.0,80.9,9.0
Siikainen,2014,2.3,0.0,0.0,317.8,72.0,238.5,274.3,4.4,5.6,0.0,0.0,0.0,0.0,5.6,7.7,10.9,0.0,82.2,13.3
Siikainen,2015,2.0,0.0,0.0,270.6,62.0,180.7,131.0,6.8,8.5,0.0,0.0,0.0,0.0,5.7,7.7,9.8,0.0,88.1,20.8
Siikainen,2016,1.9,0.0,0.0,288.8,62.0,208.8,67.6,6.8,2.7,0.0,0.0,0.0,0.0,6.1,7.7,8.7,0.0,71.1,12.8
Siikainen,2017,2.1,0.0,0.0,270.7,45.0,218.8,401.1,6.8,9.5,0.0,0.0,0.0,0.0,5.5,7.7,8.9,0.0,61.0,11.9
Siikainen,2018,2.2,0.0,0.0,284.7,84.0,188.6,67.2,3.4,3.4,0.0,0.0,0.0,0.0,6.0,7.7,11.1,0.0,69.3,13.8
Siikainen,2019,2.4,0.0,0.0,245.9,81.0,168.4,57.8,3.7,2.1,0.0,0.0,0.0,0.0,5.7,7.7,9.8,0.0,74.6,15.7
Siikainen,2020,2.4,0.0,0.0,349.1,110.0,267.1,78.0,3.7,3.6,0.0,0.0,0.0,0.0,5.4,7.7,10.7,0.0,77.5,19.5
Siikainen,2021,2.2,0.0,0.0,254.7,88.0,235.9,170.9,3.7,4.4,0.0,0.0,0.0,0.0,5.6,7.7,10.6,0.0,69.2,16.9
Siikainen,2022,2.2,0.0,0.0,295.5,133.0,318.8,428.9,8.4,4.4,0.0,0.0,0.0,0.0,5.0,7.7,11.9,0.0,80.3,21.3
Siikainen,2023,2.3,0.0,0.0,231.6,151.0,318.8,428.9,8.4,4.4,0.0,0.0,0.0,0.0,4.9,7.7,12.3,0.0,95.6,14.7
Siikajoki,2000,1.9,5.7,0.0,143.4,61.0,48.3,225.9,5.8,10.2,0.0,12.0,0.0,0.6,5.2,1.7,11.0,0.4,61.7,18.2
Siikajoki,2001,1.9,9.3,0.0,153.0,65.0,58.2,318.0,5.8,10.5,0.0,12.0,0.0,0.6,5.3,1.7,9.7,0.4,57.6,18.2
Siikajoki,2002,1.8,6.0,13.3,279.8,60.0,154.0,248.0,5.9,9.3,0.0,12.0,0.0,0.6,5.4,1.7,8.0,0.4,55.7,18.2
Siikajoki,2003,1.9,4.9,12.9,246.0,57.0,124.7,362.6,6.1,8.5,0.0,12.0,0.0,0.6,5.3,1.7,9.1,0.3,63.5,18.2
Siikajoki,2004,1.9,6.2,9.9,248.6,53.0,135.0,411.3,7.5,11.1,0.0,12.0,0.0,0.6,5.6,1.7,9.3,0.3,68.9,18.2
Siikajoki,2005,2.0,6.3,16.4,284.2,76.0,157.9,440.3,7.9,12.1,0.0,12.0,10.0,0.9,5.6,1.7,8.4,0.3,67.4,23.8
Siikajoki,2006,2.1,6.3,10.4,256.0,67.0,126.5,288.5,6.3,7.9,0.0,12.0,10.0,0.9,5.6,1.7,10.2,0.6,75.2,22.6
Siikajoki,2007,2.1,3.8,12.2,246.2,72.0,114.9,368.7,7.4,11.2,0.0,15.0,10.0,1.4,5.6,1.7,10.9,0.4,88.4,22.3
Siikajoki,2008,2.2,3.3,12.2,244.2,69.0,121.2,298.7,5.9,9.2,0.0,12.0,10.0,2.0,5.9,2.1,10.2,0.4,88.0,17.3
Siikajoki,2009,2.2,3.3,12.2,336.5,195.0,63.4,305.2,5.4,7.3,0.0,12.0,10.0,2.3,5.8,2.4,10.1,0.4,88.0,21.6
Siikajoki,2010,2.2,3.3,12.2,605.0,211.0,267.5,360.6,6.2,9.7,0.0,11.0,10.0,2.7,5.9,1.8,10.5,0.5,93.9,20.2
Siikajoki,2011,2.3,3.3,14.9,444.7,5.0,379.9,430.6,6.9,12.1,0.0,12.0,10.0,3.0,6.2,1.8,11.8,0.5,90.8,22.9
Siikajoki,2012,2.2,3.3,18.4,381.0,1.0,327.1,263.7,5.4,10.9,0.0,11.0,10.0,3.4,5.9,1.8,12.6,0.4,93.4,16.1
Siikajoki,2013,2.2,3.3,14.0,372.0,1.0,325.8,152.9,4.3,7.3,0.0,16.0,10.0,3.9,5.9,3.3,9.6,0.7,90.7,15.9
Siikajoki,2014,2.0,4.0,17.5,419.3,4.0,351.8,160.7,3.1,6.5,0.0,16.0,10.0,2.4,5.5,4.5,9.2,0.3,84.7,17.0
Siikajoki,2015,2.0,3.5,21.5,352.4,7.0,306.3,69.3,3.5,6.8,0.0,16.0,10.0,2.2,5.3,8.1,9.8,0.3,80.9,17.3
Siikajoki,2016,1.9,3.5,21.5,432.5,13.0,371.2,99.5,4.7,7.3,0.0,16.0,10.6,2.3,5.2,10.3,10.6,0.8,73.3,17.0
Siikajoki,2017,1.9,8.9,21.5,516.9,19.0,414.0,156.3,4.3,5.2,0.0,16.0,11.2,1.7,5.0,11.8,10.8,0.9,70.9,20.3
Siikajoki,2018,1.9,8.9,21.5,446.3,116.0,249.8,121.0,3.6,4.8,0.0,16.0,11.2,1.6,5.0,13.3,10.3,0.9,77.1,22.9
Siikajoki,2019,1.9,8.9,21.5,296.4,48.0,233.0,192.8,4.9,7.2,0.0,16.0,11.2,1.6,5.0,13.4,10.1,0.6,82.1,31.0
Siikajoki,2020,1.9,3.9,21.5,248.4,50.0,247.9,114.6,5.0,6.4,0.0,16.0,12.0,2.7,4.7,17.4,10.6,0.3,82.3,27.7
Siikajoki,2021,1.8,3.9,21.5,312.8,110.0,255.8,165.5,3.6,4.8,0.0,16.0,12.0,1.9,5.0,16.8,10.5,0.9,86.7,30.0
Siikajoki,2022,1.8,4.9,21.5,502.6,254.0,311.2,157.0,3.5,4.8,0.0,16.0,12.0,2.0,5.0,15.9,12.0,1.0,87.6,30.4
Siikajoki,2023,1.7,5.0,21.5,470.4,216.0,311.2,157.0,3.1,4.8,0.0,16.0,12.0,1.5,4.9,16.4,12.0,1.0,91.5,31.8
Siikalatva,2000,3.0,6.3,9.2,464.7,272.0,93.9,299.3,6.3,13.0,0.0,16.0,0.0,1.1,6.4,1.9,10.3,0.5,52.0,15.2
Siikalatva,2001,3.0,9.3,9.2,487.4,285.0,94.5,222.9,5.4,7.6,0.0,16.0,0.0,1.3,6.4,1.9,9.9,0.3,53.0,15.2
Siikalatva,2002,3.1,4.8,9.2,493.5,265.0,118.8,391.0,8.2,11.2,0.0,16.0,12.0,1.0,6.6,1.9,9.4,0.5,61.3,15.2
Siikalatva,2003,3.1,5.7,10.8,432.9,233.0,104.7,268.4,7.1,9.4,0.0,16.0,12.0,0.8,6.8,1.9,10.1,0.5,62.3,15.2
Siikalatva,2004,3.1,5.3,13.9,391.5,224.0,88.2,438.5,7.5,11.1,0.0,16.0,12.0,0.7,6.7,1.9,9.5,0.5,65.1,15.2
Siikalatva,2005,3.2,3.4,13.9,1534.2,1117.0,89.6,288.7,7.0,9.1,0.0,16.0,12.0,0.8,6.7,1.9,9.5,0.5,67.4,14.4
Siikalatva,2006,3.4,3.5,16.6,504.7,313.0,94.6,165.9,6.2,8.5,0.0,16.0,12.0,0.8,6.6,1.9,9.6,0.5,77.2,22.4
Siikalatva,2007,3.3,3.5,16.6,480.7,297.0,88.7,244.8,6.6,9.7,0.0,16.0,12.0,0.7,6.8,1.9,9.3,0.5,86.2,18.7
Siikalatva,2008,3.2,4.4,13.1,394.1,252.0,67.1,249.3,5.3,7.4,0.0,16.0,12.0,0.9,7.0,1.9,10.2,0.5,91.7,15.4
Siikalatva,2009,3.4,6.1,0.0,474.9,295.0,89.9,414.1,8.7,11.3,0.0,16.0,12.0,1.0,6.9,2.3,11.6,0.5,99.6,12.0
Siikalatva,2010,3.4,7.0,0.0,581.6,393.0,97.1,255.2,6.6,9.4,0.0,16.0,12.0,0.9,7.1,1.6,12.1,0.3,102.8,15.4
Siikalatva,2011,3.3,4.3,0.0,89.4,5.0,101.6,229.2,5.9,7.8,0.0,16.0,12.0,1.0,6.5,2.0,12.0,0.3,96.3,19.4
Siikalatva,2012,3.3,4.3,0.0,2823.8,2224.0,76.0,164.6,5.8,6.7,0.0,16.0,12.0,0.8,6.6,2.9,12.9,0.6,94.6,19.9
Siikalatva,2013,3.2,4.3,0.0,3314.6,2641.0,54.5,235.4,5.0,5.5,0.0,16.0,12.0,0.8,6.6,2.9,12.3,0.6,90.3,18.3
Siikalatva,2014,3.2,4.4,0.0,2091.0,1654.0,85.3,242.6,5.5,8.3,0.0,16.0,12.0,0.8,6.7,2.2,13.0,0.6,89.6,17.1
Siikalatva,2015,3.1,4.6,0.0,925.6,714.0,94.2,224.6,5.1,7.8,0.0,16.0,12.0,1.3,6.2,3.1,13.5,0.6,84.6,11.9
Siikalatva,2016,3.1,6.5,0.0,969.8,758.0,99.4,200.1,4.3,5.4,0.0,16.0,12.0,1.1,6.3,3.1,12.7,0.9,86.0,18.7
Siikalatva,2017,3.2,9.8,0.0,931.3,744.0,88.9,209.5,5.5,7.3,0.0,16.0,12.0,1.4,6.2,3.9,11.4,0.7,82.0,18.2
Siikalatva,2018,3.1,6.1,0.0,943.6,759.0,74.3,166.2,4.2,5.1,0.0,16.0,12.0,1.4,6.0,6.1,12.1,1.4,89.2,19.5
Siikalatva,2019,3.2,5.2,0.0,645.7,507.0,83.7,147.4,2.9,4.2,0.0,16.0,12.0,1.4,5.9,7.9,12.5,0.8,92.6,22.5
Siikalatva,2020,3.1,5.2,0.0,533.1,425.0,70.5,65.2,2.9,2.9,0.0,16.0,12.0,1.1,5.8,9.8,12.0,0.5,100.9,28.9
Siikalatva,2021,2.9,6.4,0.0,413.8,339.0,68.4,69.6,2.7,3.7,0.0,16.0,12.0,1.1,5.1,7.8,12.5,1.2,100.2,33.7
Siikalatva,2022,2.8,5.6,0.0,396.6,328.0,81.1,160.9,3.8,3.7,0.0,18.0,12.0,1.1,5.2,8.4,12.2,0.8,102.5,35.3
Siikalatva,2023,2.7,5.6,0.0,391.0,333.0,81.1,160.9,2.2,3.7,0.0,16.0,12.0,1.7,5.3,10.0,11.8,1.5,102.7,30.4
Siilinjärvi,2000,1.5,8.1,17.8,860.5,311.0,324.8,330.5,7.6,12.1,3.0,5.0,5.1,0.6,3.8,3.3,9.7,0.5,68.8,23.1
Siilinjärvi,2001,1.5,7.6,13.3,918.6,346.0,330.3,294.8,6.3,9.5,3.0,5.0,5.1,0.6,4.0,2.6,10.6,0.6,70.2,23.1
Siilinjärvi,2002,1.6,5.6,12.3,979.6,378.0,351.5,317.1,7.4,12.2,3.0,5.0,5.1,0.4,3.8,2.7,10.4,0.4,72.3,23.1
Siilinjärvi,2003,1.6,5.8,11.8,922.1,384.0,303.2,288.4,7.0,11.5,3.0,5.0,4.0,0.4,4.0,2.6,8.7,0.6,75.9,23.1
Siilinjärvi,2004,1.6,5.4,14.0,821.7,368.0,317.0,313.7,6.8,12.2,3.0,5.0,2.4,0.6,3.9,2.5,9.3,0.5,79.5,23.1
Siilinjärvi,2005,1.6,5.4,14.2,774.4,354.0,296.7,325.1,7.5,11.7,3.0,5.0,3.0,0.9,4.0,1.9,9.2,0.5,83.6,25.6
Siilinjärvi,2006,1.6,3.5,12.7,798.8,341.0,332.3,330.4,6.7,12.8,3.0,5.0,3.0,0.9,4.0,3.0,9.2,0.6,92.8,24.8
Siilinjärvi,2007,1.6,5.0,8.5,758.1,315.0,342.4,271.9,6.7,11.7,3.0,5.0,3.9,1.0,4.1,3.7,9.4,0.5,99.1,25.2
Siilinjärvi,2008,1.7,4.7,14.1,710.0,293.0,337.7,240.4,6.8,10.4,4.0,5.0,2.5,0.9,4.2,3.7,10.1,0.6,107.2,23.5
Siilinjärvi,2009,1.7,5.1,10.4,743.2,315.0,323.8,230.7,5.8,9.3,9.0,5.0,2.5,0.7,4.2,3.9,10.9,0.7,108.0,22.4
Siilinjärvi,2010,1.7,5.5,12.4,697.5,270.0,331.5,235.8,4.7,8.1,2.0,5.0,4.5,0.7,4.0,4.1,12.0,0.5,103.0,19.6
Siilinjärvi,2011,1.7,5.4,10.7,577.9,192.0,333.2,213.5,4.2,8.4,7.0,5.0,4.9,0.8,4.0,3.8,11.1,0.8,104.6,18.5
Siilinjärvi,2012,1.7,3.6,16.6,678.3,238.0,369.0,217.4,5.2,8.7,8.0,7.0,6.4,1.1,3.8,4.2,12.0,0.7,106.4,19.2
Siilinjärvi,2013,1.7,4.9,13.4,646.2,211.0,385.0,155.2,4.8,8.8,8.0,4.0,5.9,0.7,3.7,3.7,11.9,0.7,101.5,18.6
Siilinjärvi,2014,1.7,3.2,13.1,749.5,197.0,505.8,136.4,3.8,5.1,6.0,7.0,8.0,0.8,3.5,4.4,10.9,0.7,101.5,19.0
Siilinjärvi,2015,1.7,3.5,12.9,968.7,277.0,603.2,145.7,3.9,6.7,8.0,8.0,7.1,0.9,3.5,6.2,11.1,0.7,104.7,21.0
Siilinjärvi,2016,1.6,4.0,5.9,975.7,264.0,661.8,92.2,3.7,6.6,7.0,5.0,5.7,0.9,3.4,8.5,11.2,0.7,94.4,22.3
Siilinjärvi,2017,1.6,6.3,11.1,989.4,279.0,650.6,153.9,4.6,8.4,7.0,8.0,5.8,1.1,3.4,10.3,11.9,1.2,96.0,25.3
Siilinjärvi,2018,1.6,5.7,19.7,987.0,284.0,680.2,133.3,5.3,9.2,6.0,7.0,6.9,1.2,3.5,13.0,12.2,1.5,101.1,29.3
Siilinjärvi,2019,1.8,4.9,8.2,897.8,285.0,590.6,92.4,3.6,6.0,6.0,6.0,9.1,1.4,3.6,14.5,12.2,1.5,108.1,30.7
Siilinjärvi,2020,1.7,6.7,14.4,884.2,285.0,607.1,83.6,4.3,6.1,3.0,7.0,10.5,1.4,3.8,15.6,12.7,1.7,108.6,33.7
Siilinjärvi,2021,1.6,6.7,20.3,712.6,403.0,573.5,72.5,4.7,5.9,5.0,8.0,11.9,1.7,3.9,17.4,13.0,1.7,115.1,35.8
Siilinjärvi,2022,1.6,5.1,13.9,759.5,417.0,564.1,153.8,4.4,5.9,7.0,7.0,11.7,1.6,3.9,18.9,12.7,1.7,120.6,41.4
Siilinjärvi,2023,1.7,6.4,13.7,922.8,397.0,564.1,153.8,5.4,5.9,6.0,6.0,7.8,1.7,3.8,19.3,13.0,1.9,122.2,42.4
Simo,2000,0.8,5.4,0.0,244.9,99.0,115.9,210.2,3.3,5.7,14.0,0.0,0.0,1.0,3.2,2.7,5.3,0.5,23.7,17.2
Simo,2001,0.9,6.3,0.0,373.2,135.0,186.0,164.6,3.4,6.9,14.0,0.0,0.0,1.0,3.7,2.7,5.2,0.5,32.8,17.2
