year,municipality,type_of_debt,mean_debt_euro
2003,Liperi,Housing loans,17091
2003,Outokumpu,Housing loans,10146
2003,Polvijärvi,Housing loans,8523
2003,Kitee,Housing loans,11745
2003,Rääkkylä,Housing loans,8543
2003,Tohmajärvi,Housing loans,9250
2003,Lieksa,Housing loans,8201
2003,Nurmes,Housing loans,6986
2003,Halsua,Housing loans,9238
2003,Kaustinen,Housing loans,16096
2003,Lestijärvi,Housing loans,9817
2003,Perho,Housing loans,10541
2003,Toholampi,Housing loans,14102
2003,Veteli,Housing loans,12423
2003,Kannus,Housing loans,23323
2003,Kokkola,Housing loans,23634
2003,Haapavesi,Housing loans,15519
2003,Pyhäntä,Housing loans,11720
2003,Siikalatva,Housing loans,10571
2003,Kuusamo,Housing loans,18037
2003,Taivalkoski,Housing loans,10875
2003,Haapajärvi,Housing loans,17311
2003,Kärsämäki,Housing loans,10292
2003,Nivala,Housing loans,18800
2003,Pyhäjärvi,Housing loans,10913
2003,Reisjärvi,Housing loans,12840
2003,Hailuoto,Housing loans,13102
2003,Kempele,Housing loans,41342
2003,Liminka,Housing loans,39277
2003,Lumijoki,Housing loans,18793
2003,Muhos,Housing loans,23822
2003,Oulu,Housing loans,24071
2003,Tyrnävä,Housing loans,29967
2003,Ii,Housing loans,19672
2003,Pudasjärvi,Housing loans,10753
2003,Utajärvi,Housing loans,14708
2003,Vaala,Housing loans,10419
2003,Pyhäjoki,Housing loans,14803
2003,Raahe,Housing loans,19014
2003,Siikajoki,Housing loans,13594
2003,Alavieska,Housing loans,13176
2003,Kalajoki,Housing loans,20431
2003,Merijärvi,Housing loans,12249
2003,Oulainen,Housing loans,21025
2003,Sievi,Housing loans,21508
2003,Ylivieska,Housing loans,21585
2003,Kajaani,Housing loans,18901
2003,Paltamo,Housing loans,10432
2003,Ristijärvi,Housing loans,6508
2003,Sotkamo,Housing loans,17032
2003,Hyrynsalmi,Housing loans,7522
2003,Kuhmo,Housing loans,10414
2003,Puolanka,Housing loans,7832
2003,Suomussalmi,Housing loans,10091
2003,Kemijärvi,Housing loans,9219
2003,Pelkosenniemi,Housing loans,7021
2003,Posio,Housing loans,8091
2003,Salla,Housing loans,7295
2003,Savukoski,Housing loans,8117
2003,Kemi,Housing loans,13975
2003,Keminmaa,Housing loans,21326
2003,Simo,Housing loans,11874
2003,Tervola,Housing loans,10410
2003,Tornio,Housing loans,21879
2003,Inari,Housing loans,12558
2003,Sodankylä,Housing loans,13719
2003,Utsjoki,Housing loans,13077
2003,Ranua,Housing loans,10774
2003,Rovaniemi,Housing loans,19045
2003,Pello,Housing loans,11005
2003,Ylitornio,Housing loans,13363
2003,Enontekiö,Housing loans,12059
2003,Kittilä,Housing loans,14017
2003,Kolari,Housing loans,11408
2003,Muonio,Housing loans,15312
2003,Maarianhamina - Mariehamn,Housing loans,26446
2003,Eckerö,Housing loans,24487
2003,Finström,Housing loans,30968
2003,Geta,Housing loans,24419
2003,Hammarland,Housing loans,32273
2003,Jomala,Housing loans,41824
2003,Lemland,Housing loans,48865
2003,Lumparland,Housing loans,33349
2003,Saltvik,Housing loans,29479
2003,Sund,Housing loans,28608
2003,Brändö,Housing loans,12014
2003,Föglö,Housing loans,16938
2003,Kumlinge,Housing loans,11636
2003,Kökar,Housing loans,12172
2003,Sottunga,Housing loans,9096
2003,Vårdö,Housing loans,19612
2004,Espoo,Housing loans,40252
2004,Helsinki,Housing loans,23568
2004,Hyvinkää,Housing loans,29158
2004,Järvenpää,Housing loans,38363
2004,Karkkila,Housing loans,25552
2004,Kauniainen,Housing loans,50753
2004,Kerava,Housing loans,30844
2004,Kirkkonummi,Housing loans,49843
2004,Lohja,Housing loans,29952
2004,Mäntsälä,Housing loans,39252
2004,Nurmijärvi,Housing loans,49308
2004,Pornainen,Housing loans,50538
2004,Sipoo,Housing loans,41832
2004,Siuntio,Housing loans,52627
2004,Tuusula,Housing loans,46609
2004,Vantaa,Housing loans,30789
2004,Vihti,Housing loans,44658
2004,Lapinjärvi,Housing loans,14932
2004,Loviisa,Housing loans,19995
2004,Askola,Housing loans,33656
2004,Myrskylä,Housing loans,16216
2004,Porvoo,Housing loans,33014
2004,Pukkila,Housing loans,25067
2004,Hanko,Housing loans,24625
2004,Inkoo,Housing loans,39537
2004,Raasepori,Housing loans,24640
2004,Aura,Housing loans,31235
2004,Koski Tl,Housing loans,15440
2004,Loimaa,Housing loans,15625
2004,Marttila,Housing loans,18576
2004,Oripää,Housing loans,17366
2004,Pöytyä,Housing loans,18987
2004,Salo,Housing loans,25041
2004,Somero,Housing loans,16928
2004,Kaarina,Housing loans,39471
2004,Lieto,Housing loans,38422
2004,Masku,Housing loans,45349
2004,Mynämäki,Housing loans,25687
2004,Naantali,Housing loans,32923
2004,Nousiainen,Housing loans,39272
2004,Paimio,Housing loans,28401
2004,Raisio,Housing loans,30301
2004,Rusko,Housing loans,46774
2004,Sauvo,Housing loans,23668
2004,Turku,Housing loans,17670
2004,Kustavi,Housing loans,12791
2004,Laitila,Housing loans,20541
2004,Pyhäranta,Housing loans,19159
2004,Taivassalo,Housing loans,16646
2004,Uusikaupunki,Housing loans,18047
2004,Vehmaa,Housing loans,18698
2004,Kemiönsaari,Housing loans,16467
2004,Parainen,Housing loans,28115
2004,Forssa,Housing loans,17930
2004,Humppila,Housing loans,17711
2004,Jokioinen,Housing loans,23168
2004,Tammela,Housing loans,21071
2004,Ypäjä,Housing loans,15841
2004,Hattula,Housing loans,32806
2004,Hämeenlinna,Housing loans,24540
2004,Janakkala,Housing loans,27146
2004,Hausjärvi,Housing loans,31746
2004,Loppi,Housing loans,27149
2004,Riihimäki,Housing loans,25290
2004,Asikkala,Housing loans,21430
2004,Hartola,Housing loans,11453
2004,Heinola,Housing loans,17071
2004,Hollola,Housing loans,29492
2004,Kärkölä,Housing loans,20913
2004,Lahti,Housing loans,21098
2004,Orimattila,Housing loans,21252
2004,Padasjoki,Housing loans,12894
