year,municipality,type_of_debt,mean_debt_euro
2003,Ylivieska,Other debts,7192
2003,Kajaani,Other debts,6105
2003,Paltamo,Other debts,5684
2003,Ristijärvi,Other debts,4210
2003,Sotkamo,Other debts,6261
2003,Hyrynsalmi,Other debts,5182
2003,Kuhmo,Other debts,4587
2003,Puolanka,Other debts,5070
2003,Suomussalmi,Other debts,5370
2003,Kemijärvi,Other debts,4897
2003,Pelkosenniemi,Other debts,5454
2003,Posio,Other debts,4774
2003,Salla,Other debts,5035
2003,Savukoski,Other debts,6256
2003,Kemi,Other debts,5698
2003,Keminmaa,Other debts,8038
2003,Simo,Other debts,6247
2003,Tervola,Other debts,5891
2003,Tornio,Other debts,7649
2003,Inari,Other debts,7091
2003,Sodankylä,Other debts,7395
2003,Utsjoki,Other debts,8687
2003,Ranua,Other debts,5835
2003,Rovaniemi,Other debts,5797
2003,Pello,Other debts,5493
2003,Ylitornio,Other debts,6792
2003,Enontekiö,Other debts,9027
2003,Kittilä,Other debts,7188
2003,Kolari,Other debts,6581
2003,Muonio,Other debts,6767
2003,Maarianhamina - Mariehamn,Other debts,7096
2003,Eckerö,Other debts,5320
2003,Finström,Other debts,8453
2003,Geta,Other debts,6792
2003,Hammarland,Other debts,8508
2003,Jomala,Other debts,9409
2003,Lemland,Other debts,8469
2003,Lumparland,Other debts,10650
2003,Saltvik,Other debts,7694
2003,Sund,Other debts,7375
2003,Brändö,Other debts,9204
2003,Föglö,Other debts,6658
2003,Kumlinge,Other debts,5972
2003,Kökar,Other debts,9790
2003,Sottunga,Other debts,5176
2003,Vårdö,Other debts,9483
2004,Espoo,Other debts,8955
2004,Helsinki,Other debts,6557
2004,Hyvinkää,Other debts,7101
2004,Järvenpää,Other debts,8005
2004,Karkkila,Other debts,7331
2004,Kauniainen,Other debts,12854
2004,Kerava,Other debts,7603
2004,Kirkkonummi,Other debts,10266
2004,Lohja,Other debts,8094
2004,Mäntsälä,Other debts,10339
2004,Nurmijärvi,Other debts,9861
2004,Pornainen,Other debts,12476
2004,Sipoo,Other debts,11090
2004,Siuntio,Other debts,11986
2004,Tuusula,Other debts,9554
2004,Vantaa,Other debts,7675
2004,Vihti,Other debts,10150
2004,Lapinjärvi,Other debts,7389
2004,Loviisa,Other debts,7044
2004,Askola,Other debts,10026
2004,Myrskylä,Other debts,8858
2004,Porvoo,Other debts,7927
2004,Pukkila,Other debts,12281
2004,Hanko,Other debts,6514
2004,Inkoo,Other debts,9932
2004,Raasepori,Other debts,7002
2004,Aura,Other debts,11356
2004,Koski Tl,Other debts,8588
2004,Loimaa,Other debts,7992
2004,Marttila,Other debts,9703
2004,Oripää,Other debts,8459
2004,Pöytyä,Other debts,11229
2004,Salo,Other debts,7502
2004,Somero,Other debts,7793
2004,Kaarina,Other debts,8603
2004,Lieto,Other debts,9272
2004,Masku,Other debts,12480
